DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;9;25;73;-14;-46;12;10
19/08/2020;10;18;79;-14;-46;11;10
20/08/2020;4;16;85;-14;-48;13;6
21/08/2020;0;11;90;-14;-46;12;7
22/08/2020;-6;0;96;-14;-14;0;4
23/08/2020;-9;-5;102;-13;1;-3;3
24/08/2020;4;17;96;-13;-43;9;5
25/08/2020;7;19;91;-13;-42;9;20
26/08/2020;4;10;85;-13;-41;9;13
27/08/2020;6;14;80;-13;-41;9;41
28/08/2020;-1;12;74;-13;-41;11;26
29/08/2020;-7;4;69;-13;-12;1;70
30/08/2020;-11;-4;63;-13;3;-1;7
31/08/2020;-1;19;65;-12;-32;9;19
01/09/2020;0;19;68;-12;-27;7;24
02/09/2020;0;7;70;-12;-27;7;16
03/09/2020;2;7;72;-12;-27;6;24
04/09/2020;-3;8;74;-12;-26;7;25
05/09/2020;-6;5;77;-12;-8;1;14
06/09/2020;-11;0;79;-12;4;-2;11
07/09/2020;-3;10;84;-12;-25;7;28
08/09/2020;-2;14;89;-11;-24;6;29
09/09/2020;-1;5;95;-11;-24;6;29
10/09/2020;0;8;100;-11;-23;4;36
11/09/2020;-3;6;105;-11;-23;5;21
12/09/2020;-7;4;106;6;-5;-2;17
13/09/2020;-16;-3;51;-9;5;-2;14
14/09/2020;-6;11;74;-13;-19;5;14
15/09/2020;-5;14;87;-13;-19;6;33
16/09/2020;-1;10;78;-13;-20;5;32
17/09/2020;-6;8;50;-15;-20;5;25
18/09/2020;-14;1;16;-19;-19;7;39
19/09/2020;-20;3;-18;-26;-4;7;18
20/09/2020;-22;-3;-4;-25;4;5;12
21/09/2020;-8;10;54;-17;-18;5;20
22/09/2020;-10;11;52;-16;-17;5;45
23/09/2020;-11;4;29;-17;-17;6;42
24/09/2020;-11;5;43;-14;-16;5;42
25/09/2020;-13;6;21;-17;-16;7;23
26/09/2020;-18;4;4;-15;-1;6;39
27/09/2020;-22;-4;3;-21;3;5;18
28/09/2020;-13;12;30;-17;-12;6;14
29/09/2020;-11;13;49;-12;-12;5;67
30/09/2020;-7;10;35;-8;-15;4;31
01/10/2020;-6;13;37;-7;-11;3;44
02/10/2020;-11;11;-5;-15;-13;5;41
03/10/2020;-10;11;18;-3;-5;3;41
04/10/2020;-16;1;4;-24;-4;3;24
05/10/2020;-15;14;78;-32;-74;23;13
06/10/2020;-11;17;34;-8;-12;4;15
07/10/2020;-7;4;37;-9;-12;4;64
08/10/2020;-7;11;50;-5;-10;4;73
09/10/2020;-10;4;27;-6;-10;5;81
10/10/2020;-11;6;41;-2;0;5;41
11/10/2020;-19;-2;19;-9;2;5;48
12/10/2020;-12;10;39;-11;-9;5;44
13/10/2020;-14;10;26;-11;-9;5;75
14/10/2020;-11;4;19;-14;-8;6;83
15/10/2020;-11;9;31;-6;-6;4;122
16/10/2020;-12;11;21;-5;-7;6;94
17/10/2020;-19;8;5;-18;0;7;166
18/10/2020;-25;-5;1;-15;1;6;83
19/10/2020;-24;4;-22;-20;-7;8;94
20/10/2020;-24;5;-22;-25;-7;8;119
21/10/2020;-13;5;3;-22;-7;7;162
22/10/2020;-12;5;20;-12;-6;6;201
23/10/2020;-15;10;8;-10;-6;7;255
24/10/2020;-24;6;-25;-30;-2;9;224
25/10/2020;-37;-9;-54;-37;-4;10;141
26/10/2020;-17;9;2;-16;-6;7;146
27/10/2020;-21;6;-16;-21;-7;8;233
28/10/2020;-12;9;7;-18;-7;6;318
29/10/2020;-9;16;30;-6;-6;5;268
30/10/2020;-21;9;-6;-31;-8;10;296
31/10/2020;-34;1;-32;-46;-5;13;253
01/11/2020;-50;-20;-65;-59;-10;16;135
02/11/2020;-26;3;-28;-34;-9;11;221
03/11/2020;-17;15;4;-20;-8;8;503
04/11/2020;-16;5;-7;-23;-9;9;455
05/11/2020;-16;9;-2;-19;-8;8;376
06/11/2020;-23;5;-34;-23;-10;11;527
07/11/2020;-25;5;-38;-33;-5;11;450
08/11/2020;-39;-11;-52;-37;-9;12;246
09/11/2020;-21;10;-9;-24;-9;10;284
10/11/2020;-18;12;12;-24;-9;8;550
11/11/2020;-16;7;3;-21;-10;9;525
12/11/2020;-15;9;10;-17;-9;9;488
13/11/2020;-17;21;-3;-20;-10;10;638
14/11/2020;-53;-28;-57;-56;-18;19;629
15/11/2020;-60;-40;-71;-62;-23;18;258
16/11/2020;-19;12;-1;-22;-9;9;365
17/11/2020;-19;10;14;-23;-9;9;498
18/11/2020;-17;2;3;-25;-11;10;767
19/11/2020;-14;7;15;-21;-10;9;601
20/11/2020;-16;18;-4;-20;-10;10;580
21/11/2020;-53;-30;-47;-52;-20;20;491
22/11/2020;-55;-37;-52;-55;-24;18;229
23/11/2020;-17;15;-4;-21;-9;9;377
24/11/2020;-18;13;-5;-26;-10;9;457
25/11/2020;-20;1;-32;-33;-11;11;696
26/11/2020;-14;13;-6;-21;-9;9;576
27/11/2020;-13;21;-5;-13;-10;8;418
28/11/2020;-53;-28;-59;-57;-17;20;331
29/11/2020;-54;-35;-64;-69;-25;19;256
30/11/2020;-28;1;-5;-51;-45;23;253
01/12/2020;-44;-17;12;-62;-76;36;217
02/12/2020;-5;26;7;-12;-7;7;275
03/12/2020;-9;23;-4;-20;-7;7;434
04/12/2020;-18;20;-41;-25;-9;10;495
05/12/2020;-50;-24;-63;-59;-14;19;284
06/12/2020;-55;-34;-77;-73;-23;19;226
07/12/2020;-29;0;-37;-56;-45;24;277
08/12/2020;-46;-18;-33;-66;-78;38;188
09/12/2020;-6;25;-8;-16;-7;6;283
10/12/2020;-14;15;-26;-25;-7;8;404
11/12/2020;-17;17;-33;-25;-7;10;411
12/12/2020;-44;-21;-43;-44;-11;16;274
13/12/2020;-50;-31;-67;-52;-16;15;104
14/12/2020;-11;22;-20;-28;-6;7;289
15/12/2020;-9;25;0;-22;-6;7;364
16/12/2020;-8;17;-14;-25;-7;7;295
17/12/2020;-2;26;17;-17;-6;6;277
18/12/2020;-7;25;-11;-17;-7;7;277
19/12/2020;-40;-17;-42;-41;-10;15;241
20/12/2020;-41;-24;-53;-48;-13;14;81
21/12/2020;8;50;2;-24;-19;9;178
22/12/2020;11;54;51;-14;-21;8;336
23/12/2020;19;61;25;-20;-30;9;366
24/12/2020;0;41;42;-38;-66;17;286
25/12/2020;-69;-83;5;-69;-87;32;71
26/12/2020;-37;-25;7;-34;-34;15;97
27/12/2020;-50;-34;-60;-59;-23;15;123
28/12/2020;2;35;7;-32;-41;17;334
29/12/2020;1;39;18;-31;-42;16;430
30/12/2020;12;54;36;-24;-44;15;543
31/12/2020;-10;48;-7;-50;-61;22;536
01/01/2021;-79;-88;-42;-80;-89;42;124
02/01/2021;-52;-26;-36;-49;-36;21;319
03/01/2021;-52;-32;-53;-45;-20;16;244
04/01/2021;-8;29;-3;-14;-6;8;390
05/01/2021;-12;22;7;-17;-6;7;814
06/01/2021;-9;13;3;-21;-8;8;773
07/01/2021;-11;14;6;-19;-7;8;668
08/01/2021;-14;21;-16;-23;-7;9;848
09/01/2021;-51;-26;-57;-54;-19;18;560
10/01/2021;-56;-34;-66;-56;-19;17;295
11/01/2021;-10;27;-4;-24;-6;7;435
12/01/2021;-13;21;2;-28;-7;7;788
13/01/2021;-9;13;0;-28;-10;6;745
14/01/2021;-13;12;-1;-31;-12;6;816
15/01/2021;-56;-7;-42;-44;-21;16;779
16/01/2021;-69;-28;-58;-64;-32;20;686
17/01/2021;-71;-41;-64;-65;-32;18;464
18/01/2021;-53;-7;-26;-45;-21;14;595
19/01/2021;-56;-7;-34;-48;-22;14;752
20/01/2021;-60;-21;-52;-52;-30;19;754
21/01/2021;-59;-9;-47;-50;-24;16;756
22/01/2021;-63;-10;-56;-56;-38;25;754
23/01/2021;-79;-41;-84;-75;-37;25;753
24/01/2021;-76;-39;-81;-75;-35;19;753
25/01/2021;-63;-20;-62;-63;-38;23;755
26/01/2021;-63;-15;-54;-64;-39;22;755
27/01/2021;-60;-17;-46;-61;-39;22;675
28/01/2021;-59;-10;-40;-58;-38;21;677
29/01/2021;-60;-6;-57;-59;-38;24;676
30/01/2021;-72;-30;-74;-71;-33;22;674
31/01/2021;-80;-47;-88;-78;-37;22;676
01/02/2021;-58;-8;-52;-61;-36;21;677
02/02/2021;-59;-5;-49;-60;-37;21;675
03/02/2021;-58;-13;-43;-60;-37;20;421
04/02/2021;-58;-9;-37;-56;-37;20;419
05/02/2021;-60;-7;-56;-59;-36;23;419
06/02/2021;-71;-28;-67;-66;-31;20;421
07/02/2021;-78;-43;-85;-74;-36;19;415
08/02/2021;-58;-9;-52;-57;-36;20;419
09/02/2021;-59;-5;-50;-58;-36;20;417
10/02/2021;-57;-11;-40;-56;-36;19;219
11/02/2021;-59;-9;-49;-58;-36;20;219
12/02/2021;-55;2;-39;-52;-35;21;216
13/02/2021;-67;-20;-57;-59;-28;18;216
14/02/2021;-68;-30;-61;-66;-29;16;214
15/02/2021;-52;5;-19;-51;-40;19;218
16/02/2021;-64;-6;-44;-67;-62;29;216
17/02/2021;-56;-5;-43;-55;-33;19;123
18/02/2021;-55;-2;-38;-54;-33;19;118
