Data;Predicted
2020-09-15 00:00:00;18
2020-09-16 00:00:00;29
2020-09-17 00:00:00;33
2020-09-18 00:00:00;19
2020-09-19 00:00:00;21
2020-09-20 00:00:00;14
2020-09-21 00:00:00;26
2020-09-22 00:00:00;24
2020-09-23 00:00:00;41
2020-09-24 00:00:00;44
2020-09-25 00:00:00;41
2020-09-26 00:00:00;323
2020-09-27 00:00:00;-12
2020-09-28 00:00:00;22
2020-09-29 00:00:00;26
2020-09-30 00:00:00;38
2020-10-01 00:00:00;12
2020-10-02 00:00:00;19
2020-10-03 00:00:00;39
2020-10-04 00:00:00;30
2020-10-05 00:00:00;35
2020-10-06 00:00:00;28
2020-10-07 00:00:00;37
2020-10-08 00:00:00;39
2020-10-09 00:00:00;65
2020-10-10 00:00:00;93
2020-10-11 00:00:00;48
2020-10-12 00:00:00;31
2020-10-13 00:00:00;41
2020-10-14 00:00:00;80
2020-10-15 00:00:00;77
2020-10-16 00:00:00;105
2020-10-17 00:00:00;138
2020-10-18 00:00:00;34
2020-10-19 00:00:00;-143
2020-10-20 00:00:00;147
2020-10-21 00:00:00;75
2020-10-22 00:00:00;107
2020-10-23 00:00:00;161
2020-10-24 00:00:00;161
2020-10-25 00:00:00;189
2020-10-26 00:00:00;115
2020-10-27 00:00:00;116
2020-10-28 00:00:00;163
2020-10-29 00:00:00;177
2020-10-30 00:00:00;233
2020-10-31 00:00:00;300
2020-11-01 00:00:00;109
2020-11-02 00:00:00;291
2020-11-03 00:00:00;234
2020-11-04 00:00:00;406
2020-11-05 00:00:00;307
2020-11-06 00:00:00;321
2020-11-07 00:00:00;445
2020-11-08 00:00:00;249
2020-11-09 00:00:00;383
2020-11-10 00:00:00;400
2020-11-11 00:00:00;477
2020-11-12 00:00:00;372
2020-11-13 00:00:00;423
2020-11-14 00:00:00;565
2020-11-15 00:00:00;425
2020-11-16 00:00:00;565
2020-11-17 00:00:00;625
2020-11-18 00:00:00;481
2020-11-19 00:00:00;558
2020-11-20 00:00:00;609
2020-11-21 00:00:00;645
2020-11-22 00:00:00;225
2020-11-23 00:00:00;569
2020-11-24 00:00:00;445
2020-11-25 00:00:00;692
2020-11-26 00:00:00;758
2020-11-27 00:00:00;412
2020-11-28 00:00:00;252
2020-11-29 00:00:00;347
2020-11-30 00:00:00;449
2020-12-01 00:00:00;411
2020-12-02 00:00:00;794
2020-12-03 00:00:00;491
2020-12-04 00:00:00;493
2020-12-05 00:00:00;297
2020-12-06 00:00:00;393
2020-12-07 00:00:00;454
2020-12-08 00:00:00;351
2020-12-09 00:00:00;548
2020-12-10 00:00:00;397
2020-12-11 00:00:00;447
2020-12-12 00:00:00;295
2020-12-13 00:00:00;180
2020-12-14 00:00:00;1544
2020-12-15 00:00:00;494
2020-12-16 00:00:00;403
2020-12-17 00:00:00;291
2020-12-18 00:00:00;530
2020-12-19 00:00:00;206
2020-12-20 00:00:00;68
2020-12-21 00:00:00;264
2020-12-22 00:00:00;403
2020-12-23 00:00:00;299
2020-12-24 00:00:00;280
2020-12-25 00:00:00;303
2020-12-26 00:00:00;297
2020-12-27 00:00:00;141
2020-12-28 00:00:00;247
2020-12-29 00:00:00;325
2020-12-30 00:00:00;164
2020-12-31 00:00:00;501
2021-01-01 00:00:00;360
2021-01-02 00:00:00;210
2021-01-03 00:00:00;286
2021-01-04 00:00:00;335
2021-01-05 00:00:00;640
2021-01-06 00:00:00;646
2021-01-07 00:00:00;1056
2021-01-08 00:00:00;740
2021-01-09 00:00:00;437
2021-01-10 00:00:00;273
2021-01-11 00:00:00;639
2021-01-12 00:00:00;545
2021-01-13 00:00:00;688
2021-01-14 00:00:00;443
2021-01-15 00:00:00;714
2021-01-16 00:00:00;512
2021-01-17 00:00:00;408
2021-01-18 00:00:00;550
2021-01-19 00:00:00;615
2021-01-20 00:00:00;568
2021-01-21 00:00:00;731
2021-01-22 00:00:00;553
2021-01-23 00:00:00;923
2021-01-24 00:00:00;561
2021-01-25 00:00:00;801
2021-01-26 00:00:00;873
2021-01-27 00:00:00;678
2021-01-28 00:00:00;659
2021-01-29 00:00:00;619
2021-01-30 00:00:00;725
2021-01-31 00:00:00;522
2021-02-01 00:00:00;736
2021-02-02 00:00:00;672
2021-02-03 00:00:00;671
2021-02-04 00:00:00;648
2021-02-05 00:00:00;328
2021-02-06 00:00:00;622
2021-02-07 00:00:00;412
2021-02-08 00:00:00;386
2021-02-09 00:00:00;453
