DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;9;33;33;-32;-47;14;21
19/08/2020;3;30;44;-34;-48;14;14
20/08/2020;13;29;54;-29;-48;11;13
21/08/2020;0;23;65;-31;-48;12;17
22/08/2020;-14;4;75;-33;-14;0;12
23/08/2020;-15;-5;70;-34;3;-4;11
24/08/2020;2;22;67;-36;-51;10;14
25/08/2020;-1;20;63;-31;-52;9;27
26/08/2020;-4;22;60;-34;-50;9;35
27/08/2020;4;22;57;-34;-50;10;67
28/08/2020;-7;19;53;-33;-50;12;43
29/08/2020;-19;1;50;-33;-15;1;24
30/08/2020;-16;-4;44;-34;5;-2;31
31/08/2020;-1;21;46;-34;-40;11;22
01/09/2020;-3;19;48;-26;-35;9;45
02/09/2020;-7;18;50;-29;-32;9;51
03/09/2020;-1;15;52;-27;-33;8;80
04/09/2020;-7;16;54;-29;-32;9;54
05/09/2020;-16;5;56;-30;-8;1;55
06/09/2020;-18;2;49;-30;5;-2;38
07/09/2020;-4;16;49;-31;-27;8;39
08/09/2020;-6;17;50;-26;-27;8;77
09/09/2020;-9;15;50;-26;-23;7;65
10/09/2020;-1;16;51;-26;-26;6;61
11/09/2020;-7;16;51;-25;-26;6;29
12/09/2020;-17;6;53;-25;-3;-1;98
13/09/2020;-19;3;32;-24;5;-1;71
14/09/2020;-6;14;31;-25;-20;7;26
15/09/2020;-9;14;27;-24;-21;8;61
16/09/2020;-8;20;32;-22;-20;7;67
17/09/2020;-5;16;23;-20;-22;6;78
18/09/2020;-11;12;10;-19;-21;6;55
19/09/2020;-21;7;-20;-31;-2;6;76
20/09/2020;-20;9;-11;-26;4;6;32
21/09/2020;-8;11;19;-22;-19;6;30
22/09/2020;-13;11;10;-21;-19;6;54
23/09/2020;-15;17;9;-25;-15;7;61
24/09/2020;-10;14;13;-22;-17;6;46
25/09/2020;-14;14;9;-23;-18;7;74
26/09/2020;-22;8;-16;-32;1;7;48
27/09/2020;-19;6;2;-26;4;6;54
28/09/2020;-12;15;12;-27;-13;7;40
29/09/2020;-13;13;14;-19;-15;6;54
30/09/2020;-13;21;12;-19;-13;5;78
01/10/2020;-8;21;7;-16;-12;5;78
02/10/2020;-13;18;-13;-20;-14;6;91
03/10/2020;-17;15;-10;-31;-3;5;84
04/10/2020;-17;7;-12;-36;-2;4;64
05/10/2020;-20;12;-16;-55;-76;26;49
06/10/2020;-14;15;-1;-14;-14;5;73
07/10/2020;-14;16;14;-17;-9;5;124
08/10/2020;-7;18;24;-12;-11;5;112
09/10/2020;-12;14;16;-12;-12;6;150
10/10/2020;-17;9;21;-28;3;5;65
11/10/2020;-19;7;18;-27;3;5;113
12/10/2020;-9;13;22;-19;-10;6;101
13/10/2020;-15;11;9;-16;-10;6;182
14/10/2020;-16;14;4;-16;-6;6;168
15/10/2020;-10;18;11;-13;-8;5;196
16/10/2020;-15;19;1;-16;-9;7;194
17/10/2020;-24;12;-16;-34;3;8;184
18/10/2020;-24;5;-1;-30;2;7;234
19/10/2020;-21;10;-22;-26;-8;9;184
20/10/2020;-22;9;-24;-21;-9;9;244
21/10/2020;-21;14;-14;-20;-5;8;389
22/10/2020;-12;14;9;-15;-7;7;236
23/10/2020;-17;18;-7;-17;-8;8;354
24/10/2020;-29;9;-38;-37;0;10;378
25/10/2020;-36;-3;-55;-39;-2;11;332
26/10/2020;-18;10;-16;-24;-8;9;329
27/10/2020;-23;6;-31;-24;-9;9;409
28/10/2020;-19;17;-7;-22;-6;8;506
29/10/2020;-12;19;-1;-15;-9;7;707
30/10/2020;-23;14;-15;-26;-11;11;446
31/10/2020;-37;6;-42;-44;-4;14;347
01/11/2020;-49;-15;-68;-53;-12;17;312
02/11/2020;-25;7;-30;-31;-10;11;299
03/11/2020;-20;11;-13;-19;-10;9;1469
04/11/2020;-22;12;-19;-21;-8;10;850
05/11/2020;-18;15;-18;-24;-11;10;774
06/11/2020;-27;11;-37;-29;-13;13;765
07/11/2020;-31;10;-46;-43;-4;12;966
08/11/2020;-40;-4;-55;-44;-9;13;646
09/11/2020;-23;11;-25;-30;-11;11;749
10/11/2020;-22;12;-15;-22;-12;11;630
11/11/2020;-24;15;-20;-25;-9;11;993
12/11/2020;-18;17;-10;-25;-11;10;1155
13/11/2020;-21;32;-18;-26;-13;12;1178
14/11/2020;-61;-32;-63;-61;-21;22;1216
15/11/2020;-64;-41;-75;-65;-29;22;575
16/11/2020;-20;14;-14;-27;-11;11;624
17/11/2020;-22;9;-13;-26;-12;11;888
18/11/2020;-24;10;-18;-28;-9;11;1252
19/11/2020;-16;14;-6;-27;-12;10;1320
20/11/2020;-20;27;-19;-26;-13;12;1306
