Data;Predicted
2020-09-15 00:00:00;94
2020-09-16 00:00:00;69
2020-09-17 00:00:00;81
2020-09-18 00:00:00;60
2020-09-19 00:00:00;80
2020-09-20 00:00:00;92
2020-09-21 00:00:00;52
2020-09-22 00:00:00;85
2020-09-23 00:00:00;87
2020-09-24 00:00:00;98
2020-09-25 00:00:00;110
2020-09-26 00:00:00;130
2020-09-27 00:00:00;143
2020-09-28 00:00:00;107
2020-09-29 00:00:00;57
2020-09-30 00:00:00;23
2020-10-01 00:00:00;59
2020-10-02 00:00:00;100
2020-10-03 00:00:00;23
2020-10-04 00:00:00;-3
2020-10-05 00:00:00;76
2020-10-06 00:00:00;95
2020-10-07 00:00:00;27
2020-10-08 00:00:00;54
2020-10-09 00:00:00;64
2020-10-10 00:00:00;-1
2020-10-11 00:00:00;10
2020-10-12 00:00:00;13
2020-10-13 00:00:00;112
2020-10-14 00:00:00;160
2020-10-15 00:00:00;111
2020-10-16 00:00:00;105
2020-10-17 00:00:00;112
2020-10-18 00:00:00;77
2020-10-19 00:00:00;-114
2020-10-20 00:00:00;136
2020-10-21 00:00:00;144
2020-10-22 00:00:00;109
2020-10-23 00:00:00;115
2020-10-24 00:00:00;110
2020-10-25 00:00:00;118
2020-10-26 00:00:00;75
2020-10-27 00:00:00;346
2020-10-28 00:00:00;361
2020-10-29 00:00:00;288
2020-10-30 00:00:00;331
2020-10-31 00:00:00;398
2020-11-01 00:00:00;443
2020-11-02 00:00:00;403
2020-11-03 00:00:00;443
2020-11-04 00:00:00;417
2020-11-05 00:00:00;393
2020-11-06 00:00:00;379
2020-11-07 00:00:00;444
2020-11-08 00:00:00;542
2020-11-09 00:00:00;416
2020-11-10 00:00:00;1011
2020-11-11 00:00:00;480
2020-11-12 00:00:00;842
2020-11-13 00:00:00;98
2020-11-14 00:00:00;-179
2020-11-15 00:00:00;-632
2020-11-16 00:00:00;328
2020-11-17 00:00:00;781
2020-11-18 00:00:00;958
2020-11-19 00:00:00;518
2020-11-20 00:00:00;459
2020-11-21 00:00:00;65
2020-11-22 00:00:00;-196
2020-11-23 00:00:00;159
2020-11-24 00:00:00;1188
2020-11-25 00:00:00;1398
2020-11-26 00:00:00;1044
2020-11-27 00:00:00;2249
2020-11-28 00:00:00;222
2020-11-29 00:00:00;-302
2020-11-30 00:00:00;988
2020-12-01 00:00:00;840
2020-12-02 00:00:00;970
2020-12-03 00:00:00;645
2020-12-04 00:00:00;1891
2020-12-05 00:00:00;210
2020-12-06 00:00:00;-155
2020-12-07 00:00:00;843
2020-12-08 00:00:00;750
2020-12-09 00:00:00;721
2020-12-10 00:00:00;641
2020-12-11 00:00:00;610
2020-12-12 00:00:00;724
2020-12-13 00:00:00;328
2020-12-14 00:00:00;603
2020-12-15 00:00:00;1313
2020-12-16 00:00:00;676
2020-12-17 00:00:00;624
2020-12-18 00:00:00;684
2020-12-19 00:00:00;731
2020-12-20 00:00:00;223
2020-12-21 00:00:00;605
2020-12-22 00:00:00;460
2020-12-23 00:00:00;457
2020-12-24 00:00:00;433
2020-12-25 00:00:00;362
2020-12-26 00:00:00;495
2020-12-27 00:00:00;382
2020-12-28 00:00:00;288
2020-12-29 00:00:00;412
2020-12-30 00:00:00;402
2020-12-31 00:00:00;435
2021-01-01 00:00:00;442
2021-01-02 00:00:00;531
2021-01-03 00:00:00;422
2021-01-04 00:00:00;51
2021-01-05 00:00:00;1131
2021-01-06 00:00:00;830
2021-01-07 00:00:00;1979
2021-01-08 00:00:00;2712
2021-01-09 00:00:00;1797
2021-01-10 00:00:00;576
2021-01-11 00:00:00;651
2021-01-12 00:00:00;1032
2021-01-13 00:00:00;762
2021-01-14 00:00:00;903
2021-01-15 00:00:00;1620
2021-01-16 00:00:00;759
2021-01-17 00:00:00;471
2021-01-18 00:00:00;538
2021-01-19 00:00:00;774
2021-01-20 00:00:00;820
2021-01-21 00:00:00;835
2021-01-22 00:00:00;870
2021-01-23 00:00:00;744
2021-01-24 00:00:00;464
2021-01-25 00:00:00;642
2021-01-26 00:00:00;692
2021-01-27 00:00:00;527
2021-01-28 00:00:00;468
2021-01-29 00:00:00;796
2021-01-30 00:00:00;494
2021-01-31 00:00:00;337
2021-02-01 00:00:00;642
2021-02-02 00:00:00;827
2021-02-03 00:00:00;860
2021-02-04 00:00:00;843
2021-02-05 00:00:00;858
2021-02-06 00:00:00;852
2021-02-07 00:00:00;832
2021-02-08 00:00:00;852
2021-02-09 00:00:00;834
2021-02-10 00:00:00;833
2021-02-11 00:00:00;840
2021-02-12 00:00:00;850
2021-02-13 00:00:00;839
2021-02-14 00:00:00;792
2021-02-15 00:00:00;833
2021-02-16 00:00:00;246
2021-02-17 00:00:00;280
2021-02-18 00:00:00;228
2021-02-19 00:00:00;277
2021-02-20 00:00:00;373
2021-02-21 00:00:00;212
2021-02-22 00:00:00;232
2021-02-23 00:00:00;267
2021-02-24 00:00:00;272
2021-02-25 00:00:00;145
2021-02-26 00:00:00;200
2021-02-27 00:00:00;176
2021-02-28 00:00:00;370
2021-03-01 00:00:00;33
2021-03-02 00:00:00;180
2021-03-03 00:00:00;91
2021-03-04 00:00:00;50
2021-03-05 00:00:00;54
2021-03-06 00:00:00;163
2021-03-07 00:00:00;64
2021-03-08 00:00:00;73
2021-03-09 00:00:00;22
2021-03-10 00:00:00;59
2021-03-11 00:00:00;31
2021-03-12 00:00:00;9
2021-03-13 00:00:00;35
2021-03-14 00:00:00;-17
2021-03-15 00:00:00;23
2021-03-16 00:00:00;32
2021-03-17 00:00:00;31
2021-03-18 00:00:00;29
2021-03-19 00:00:00;32
2021-03-20 00:00:00;26
2021-03-21 00:00:00;24
2021-03-22 00:00:00;28
2021-03-23 00:00:00;31
2021-03-24 00:00:00;29
2021-03-25 00:00:00;30
2021-03-26 00:00:00;30
2021-03-27 00:00:00;27
2021-03-28 00:00:00;27
2021-03-29 00:00:00;27
2021-03-30 00:00:00;19
2021-03-31 00:00:00;18
2021-04-01 00:00:00;14
2021-04-02 00:00:00;0
2021-04-03 00:00:00;16
2021-04-04 00:00:00;21
2021-04-05 00:00:00;23
2021-04-06 00:00:00;16
2021-04-07 00:00:00;22
2021-04-08 00:00:00;12
2021-04-09 00:00:00;9
2021-04-10 00:00:00;18
2021-04-11 00:00:00;26
2021-04-12 00:00:00;23
