DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;66;36;53;-11;-33;7;1
19/08/2020;63;34;55;-12;-34;5;4
20/08/2020;60;33;56;-12;-35;9;0
21/08/2020;58;31;58;-13;-33;7;3
22/08/2020;55;30;60;-13;-33;7;1
23/08/2020;52;28;61;-14;-33;6;3
24/08/2020;49;27;63;-14;-33;6;2
25/08/2020;46;25;65;-15;-32;6;0
26/08/2020;43;24;66;-15;-32;5;5
27/08/2020;41;22;68;-16;-32;5;2
28/08/2020;38;21;70;-16;-31;6;9
29/08/2020;35;19;71;-17;-31;6;1
30/08/2020;32;17;73;-18;-32;7;0
31/08/2020;29;16;75;-18;-32;5;5
01/09/2020;26;14;76;-19;-30;4;2
02/09/2020;24;13;78;-19;-30;5;10
03/09/2020;21;11;79;-20;-29;5;1
04/09/2020;18;10;81;-20;-29;5;16
05/09/2020;15;8;83;-21;-29;5;2
06/09/2020;12;7;84;-21;-29;4;1
07/09/2020;9;5;86;-22;-29;4;21
08/09/2020;7;4;88;-22;-30;4;2
09/09/2020;4;2;89;-23;-29;3;8
10/09/2020;1;1;91;-23;-29;3;0
11/09/2020;-2;-1;93;-24;-28;2;5
12/09/2020;4;1;94;-27;-6;2;1
13/09/2020;0;-9;96;-30;3;2;1
14/09/2020;1;6;84;-33;-25;2;0
15/09/2020;-2;8;72;-36;-25;4;3
16/09/2020;1;11;59;-26;-26;3;7
17/09/2020;-6;5;47;-17;-26;3;2
18/09/2020;-9;-1;35;-7;-23;3;23
19/09/2020;-12;2;38;-7;-7;3;38
20/09/2020;-14;-7;24;-7;-3;2;2
21/09/2020;-4;11;25;-7;-23;2;3
22/09/2020;-7;12;26;-8;-23;4;22
23/09/2020;-9;11;26;-8;-21;3;3
24/09/2020;-13;8;27;-8;-22;4;13
25/09/2020;-12;5;28;-8;-21;3;8
26/09/2020;-10;4;56;-7;-4;2;11
27/09/2020;-5;-3;48;-7;2;2;1
28/09/2020;-2;15;40;-6;-18;3;7
29/09/2020;-1;17;31;-6;-18;3;4
30/09/2020;-4;11;23;-5;-18;2;48
01/10/2020;-9;16;14;-5;-17;2;17
02/10/2020;-13;3;6;-4;-17;3;1
03/10/2020;1;20;51;-4;-10;0;68
04/10/2020;13;1;96;-5;-14;0;1
05/10/2020;-23;-5;84;-5;-68;12;1
06/10/2020;-2;18;72;-6;-19;1;36
07/10/2020;-4;12;61;-6;-15;2;8
08/10/2020;-6;13;49;-7;-15;3;26
09/10/2020;-9;6;37;-7;-15;2;67
10/10/2020;-7;4;59;-7;-7;4;32
11/10/2020;-3;2;80;-8;-4;0;6
12/10/2020;4;18;68;-8;-15;3;25
13/10/2020;-10;9;56;-9;-15;4;43
14/10/2020;-10;9;43;-9;-14;4;20
15/10/2020;-12;12;31;-10;-14;4;27
16/10/2020;-12;11;19;-10;-13;3;35
17/10/2020;-18;2;36;-10;-11;4;5
18/10/2020;-18;-6;24;-11;-7;5;18
19/10/2020;-15;13;4;-11;-15;5;27
20/10/2020;-22;6;-16;-12;-16;7;20
21/10/2020;-14;8;0;-12;-13;5;60
22/10/2020;-14;10;11;-13;-14;5;39
23/10/2020;-16;8;21;-13;-14;3;25
24/10/2020;-24;3;20;-13;-13;4;62
25/10/2020;-34;-8;-27;-14;-12;4;2
26/10/2020;-11;11;-15;-14;-13;4;51
27/10/2020;-15;13;-4;-15;-13;5;27
