DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;10;32;146;-21;-35;8;2
19/08/2020;9;31;143;-21;-36;7;0
20/08/2020;9;30;141;-20;-38;9;0
21/08/2020;8;29;138;-20;-33;9;0
22/08/2020;8;29;136;-19;-34;0;1
23/08/2020;7;28;133;-19;-34;4;0
24/08/2020;6;27;131;-18;-35;8;0
25/08/2020;6;26;128;-18;-35;7;1
26/08/2020;5;25;126;-18;-32;6;1
27/08/2020;4;24;123;-17;-35;6;0
28/08/2020;4;23;121;-17;-32;8;2
29/08/2020;3;22;118;-16;-32;-1;0
30/08/2020;3;22;115;-16;-31;3;0
31/08/2020;2;21;113;-16;-31;7;0
01/09/2020;1;20;110;-15;-29;6;0
02/09/2020;1;19;108;-15;-29;6;1
03/09/2020;0;18;105;-14;-30;5;0
04/09/2020;-1;17;103;-14;-28;6;0
05/09/2020;-1;16;100;-13;-28;-1;2
06/09/2020;-2;15;98;-13;-28;3;1
07/09/2020;-3;15;95;-13;-28;6;2
08/09/2020;-3;14;93;-12;-27;5;2
09/09/2020;-4;13;90;-12;-27;4;10
10/09/2020;-4;12;88;-11;-29;4;8
11/09/2020;-5;11;85;-11;-27;4;2
12/09/2020;-10;5;66;-11;-8;-2;8
13/09/2020;-10;9;51;-20;1;2;1
14/09/2020;0;20;54;-5;-26;5;10
15/09/2020;0;20;69;-3;-30;7;4
16/09/2020;3;21;60;2;-24;5;7
17/09/2020;-6;16;34;-9;-26;5;7
18/09/2020;-15;8;13;-11;-22;7;3
19/09/2020;-16;11;7;-22;-8;5;5
20/09/2020;-11;13;31;-19;1;5;4
21/09/2020;1;20;45;7;-22;4;4
22/09/2020;-1;19;53;4;-21;4;3
23/09/2020;-8;19;19;3;-19;5;15
24/09/2020;-9;15;25;26;-20;4;3
25/09/2020;-14;13;28;27;-17;5;3
26/09/2020;-18;7;15;23;-2;3;8
27/09/2020;-14;10;33;18;5;3;3
28/09/2020;-5;20;25;14;-15;5;4
29/09/2020;-2;23;46;18;-16;4;8
30/09/2020;-1;24;41;27;-16;3;9
01/10/2020;-3;27;31;25;-15;2;2
02/10/2020;-12;22;6;20;-14;4;5
03/10/2020;-2;28;53;3;-9;1;3
04/10/2020;5;31;95;-21;-6;2;0
05/10/2020;-3;23;73;5;-69;15;1
06/10/2020;3;30;53;25;-15;2;3
07/10/2020;-2;21;39;8;-13;2;3
08/10/2020;-1;25;43;7;-13;2;14
09/10/2020;-8;17;38;8;-11;3;10
10/10/2020;-12;10;43;-20;-2;2;10
11/10/2020;-15;11;44;-1;-2;4;13
12/10/2020;-4;21;30;-8;-12;4;13
13/10/2020;-4;22;36;-5;-11;4;3
14/10/2020;-7;18;22;-3;-9;4;27
15/10/2020;-7;23;24;0;-9;3;38
16/10/2020;-12;19;20;14;-8;4;14
17/10/2020;-20;11;16;-16;-5;4;22
