DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;9;14;32;46;-37;9;4
19/08/2020;8;9;47;44;-37;7;5
20/08/2020;0;11;-7;43;-40;11;1
21/08/2020;-3;5;51;41;-37;10;2
22/08/2020;-5;2;49;39;-6;0;3
23/08/2020;-6;-3;46;37;6;-2;4
24/08/2020;3;7;44;36;-36;7;1
25/08/2020;2;9;42;34;-37;8;6
26/08/2020;1;8;40;32;-36;7;3
27/08/2020;2;10;37;31;-36;8;4
28/08/2020;-7;5;35;29;-35;9;4
29/08/2020;-8;2;27;27;-8;0;6
30/08/2020;-9;-6;18;25;5;-2;4
31/08/2020;-2;4;10;24;-34;8;3
01/09/2020;-4;7;16;22;-31;7;7
02/09/2020;-5;1;11;20;-31;6;12
03/09/2020;-4;1;17;19;-33;6;4
04/09/2020;-11;0;4;17;-30;8;9
05/09/2020;-11;-1;1;15;-9;0;2
06/09/2020;-9;-6;-3;14;1;-2;6
07/09/2020;-4;2;-6;12;-31;6;16
08/09/2020;-3;6;6;10;-32;7;9
09/09/2020;-5;3;-5;8;-29;5;19
10/09/2020;-4;3;6;7;-31;5;12
11/09/2020;-11;1;8;5;-28;5;10
12/09/2020;-12;-2;49;23;-7;-2;6
13/09/2020;-13;-6;41;21;2;-2;23
14/09/2020;-5;1;-8;-8;-24;5;16
15/09/2020;-6;1;-5;0;-25;6;13
16/09/2020;-5;6;-8;-17;-25;5;17
17/09/2020;-8;4;-14;-21;-27;5;11
18/09/2020;-20;-4;-33;-4;-23;8;10
19/09/2020;-22;-2;-36;-7;-9;7;8
20/09/2020;-17;-5;-1;3;0;5;8
21/09/2020;-6;3;-13;-5;-24;5;5
22/09/2020;-8;4;-20;3;-22;5;16
23/09/2020;-11;2;-38;-17;-22;5;8
24/09/2020;-10;5;-34;-18;-23;5;15
25/09/2020;-17;1;-37;9;-20;7;21
26/09/2020;-19;-1;-16;10;-4;5;19
27/09/2020;-19;-8;-10;9;2;5;16
28/09/2020;-9;5;-37;-7;-18;6;5
29/09/2020;-7;6;-31;7;-19;5;14
30/09/2020;-7;10;-35;-9;-19;3;15
01/10/2020;-7;11;-35;-14;-18;3;19
02/10/2020;-16;6;-33;19;-16;6;18
03/10/2020;-10;8;2;35;-8;2;14
04/10/2020;-8;1;11;7;-6;3;8
05/10/2020;-10;-1;-13;-3;-71;19;8
06/10/2020;-6;11;-6;15;-17;3;24
07/10/2020;-7;4;-7;-10;-17;4;25
08/10/2020;-6;9;-3;-14;-16;4;29
09/10/2020;-15;2;-14;18;-13;5;16
10/10/2020;-16;0;12;6;-4;4;15
11/10/2020;-16;-3;12;21;-2;4;10
12/10/2020;-8;1;-11;1;-12;5;8
13/10/2020;-10;4;-14;2;-12;5;34
14/10/2020;-12;4;-17;-11;-10;5;37
15/10/2020;-11;9;-14;-11;-11;4;71
16/10/2020;-18;7;-23;16;-8;6;35
17/10/2020;-24;1;-13;-2;-4;6;50
18/10/2020;-25;-7;-7;16;-2;6;17
19/10/2020;-22;-2;-42;-6;-11;8;41
20/10/2020;-23;-2;-46;-9;-12;8;41
21/10/2020;-13;7;-49;-20;-11;6;35
22/10/2020;-12;4;-43;-20;-12;6;70
23/10/2020;-17;6;-45;8;-10;7;42
24/10/2020;-24;0;-36;-13;-6;7;24
25/10/2020;-35;-15;-58;-1;-9;9;21
26/10/2020;-13;2;-49;-13;-10;7;46
27/10/2020;-15;4;-51;-10;-10;7;63
28/10/2020;-11;5;-31;-17;-8;6;83
29/10/2020;-10;10;-22;-11;-10;4;103
30/10/2020;-24;3;-34;-28;-9;10;88
31/10/2020;-35;-6;-33;-45;-6;11;98
01/11/2020;-45;-24;-51;-49;-9;13;72
02/11/2020;-23;-5;-45;-29;-11;10;41
03/11/2020;-14;4;-49;-8;-12;7;121
04/11/2020;-16;3;-53;-18;-13;7;157
05/11/2020;-16;5;-52;-28;-14;8;149
06/11/2020;-26;0;-61;-5;-12;11;159
07/11/2020;-28;1;-50;-25;-9;9;95
08/11/2020;-35;-13;-52;-13;-10;10;56
09/11/2020;-19;1;-53;-20;-12;9;61
10/11/2020;-16;4;-29;-14;-10;8;139
11/11/2020;-15;5;-31;-23;-10;8;139
12/11/2020;-16;5;-28;-29;-12;8;146
13/11/2020;-23;9;-35;-4;-10;10;142
14/11/2020;-43;-17;-52;-41;-13;14;126
15/11/2020;-48;-31;-53;-32;-14;13;166
16/11/2020;-20;-2;-34;-12;-11;9;86
17/11/2020;-18;0;-27;-14;-11;9;230
18/11/2020;-19;0;-38;-31;-12;9;153
19/11/2020;-16;3;-47;-35;-15;8;183
20/11/2020;-22;11;-51;-10;-12;10;194
21/11/2020;-57;-32;-61;-49;-23;17;225
22/11/2020;-58;-40;-59;-40;-26;16;118
23/11/2020;-14;6;-53;-18;-13;8;123
24/11/2020;-16;5;-53;-16;-13;8;106
25/11/2020;-20;2;-48;-33;-12;10;202
26/11/2020;-15;7;-36;-32;-13;8;177
27/11/2020;-18;10;-37;-2;-9;8;167
28/11/2020;-44;-20;-55;-51;-14;15;131
29/11/2020;-48;-31;-56;-62;-18;16;98
30/11/2020;-23;-2;-50;-53;-46;20;94
01/12/2020;-41;-24;-47;-61;-72;31;113
02/12/2020;-9;15;-32;-8;-9;6;70
03/12/2020;-11;15;-34;-27;-11;7;143
04/12/2020;-23;8;-53;-7;-9;11;179
05/12/2020;-42;-14;-59;-49;-11;15;114
06/12/2020;-50;-30;-68;-61;-17;16;61
07/12/2020;-22;0;-62;-52;-47;21;126
08/12/2020;-41;-21;-66;-55;-72;32;140
09/12/2020;-9;15;-40;-10;-8;6;76
10/12/2020;-15;9;-43;-33;-10;8;144
11/12/2020;-23;7;-53;-12;-9;11;122
12/12/2020;-32;-8;-41;-30;-7;12;141
13/12/2020;-39;-19;-58;-30;-11;12;43
14/12/2020;-12;9;-48;-18;-9;8;71
15/12/2020;-8;13;-36;-8;-8;7;219
16/12/2020;-11;12;-42;-29;-9;8;237
17/12/2020;-6;18;-30;-23;-10;6;176
18/12/2020;-13;15;-39;8;-7;8;159
19/12/2020;-27;-2;-37;-7;-5;10;122
20/12/2020;-31;-12;-42;-21;-8;10;76
21/12/2020;2;29;-44;-16;-27;10;84
22/12/2020;4;31;-32;-1;-29;9;194
23/12/2020;5;46;-49;-8;-31;9;168
24/12/2020;-15;23;-48;-40;-60;14;179
25/12/2020;-75;-86;-54;-62;-83;31;40
26/12/2020;-33;-15;-22;-21;-25;12;72
27/12/2020;-38;-26;-47;-24;-13;12;73
28/12/2020;-6;12;-47;-25;-37;15;72
29/12/2020;-6;17;-46;-23;-37;15;188
30/12/2020;1;41;-40;-17;-36;11;286
31/12/2020;-18;34;-57;-53;-51;18;348
01/01/2021;-85;-91;-78;-78;-85;42;140
02/01/2021;-59;-38;-51;-39;-32;19;102
03/01/2021;-56;-38;-58;-13;-20;16;135
04/01/2021;-8;19;-43;-7;-10;8;178
05/01/2021;-12;10;-39;-6;-10;9;384
06/01/2021;-13;9;-40;-26;-10;8;338
07/01/2021;-14;7;-36;-30;-12;9;414
08/01/2021;-20;13;-46;-7;-9;11;536
09/01/2021;-58;-34;-67;-46;-21;18;357
10/01/2021;-59;-41;-64;-38;-20;17;233
11/01/2021;-9;17;-41;-14;-10;8;218
12/01/2021;-14;8;-39;-13;-12;8;592
13/01/2021;-12;10;-41;-23;-14;7;490
14/01/2021;-18;5;-44;-38;-18;8;481
15/01/2021;-60;-17;-59;-29;-25;18;464
16/01/2021;-70;-35;-66;-55;-34;19;527
17/01/2021;-70;-42;-61;-51;-33;17;258
18/01/2021;-52;-18;-56;-39;-27;15;359
19/01/2021;-56;-19;-62;-38;-29;16;539
20/01/2021;-61;-24;-68;-49;-32;18;541
21/01/2021;-60;-18;-65;-50;-33;18;534
22/01/2021;-66;-21;-72;-38;-45;27;541
23/01/2021;-79;-47;-84;-64;-42;23;541
24/01/2021;-74;-44;-68;-61;-36;18;541
25/01/2021;-65;-28;-76;-54;-48;24;540
26/01/2021;-64;-28;-75;-51;-49;24;545
27/01/2021;-63;-25;-71;-62;-48;23;549
28/01/2021;-62;-21;-67;-61;-49;23;548
29/01/2021;-65;-18;-73;-54;-47;27;553
30/01/2021;-75;-37;-78;-69;-40;21;553
31/01/2021;-79;-52;-84;-71;-40;21;550
01/02/2021;-59;-19;-73;-56;-46;23;550
02/02/2021;-60;-19;-71;-55;-47;23;550
03/02/2021;-61;-23;-68;-59;-48;22;365
04/02/2021;-61;-21;-66;-60;-49;22;364
05/02/2021;-65;-21;-74;-50;-47;26;362
06/02/2021;-73;-36;-75;-61;-39;19;364
07/02/2021;-77;-49;-79;-66;-37;18;361
08/02/2021;-58;-18;-71;-50;-46;21;360
09/02/2021;-60;-20;-73;-50;-46;23;361
10/02/2021;-59;-17;-68;-55;-46;21;196
11/02/2021;-60;-17;-78;-60;-48;22;193
12/02/2021;-61;-11;-72;-43;-44;23;188
13/02/2021;-70;-29;-66;-56;-35;16;189
14/02/2021;-69;-33;-60;-55;-31;14;188
15/02/2021;-55;-12;-70;-47;-47;19;188
16/02/2021;-63;-20;-79;-55;-59;26;190
17/02/2021;-57;-11;-72;-50;-44;19;112
18/02/2021;-58;-13;-74;-59;-46;21;109
19/02/2021;-59;-8;-75;-44;-44;23;106
20/02/2021;-74;-35;-84;-62;-39;20;107
21/02/2021;-73;-36;-70;-55;-31;16;106
22/02/2021;-54;-11;-69;-47;-43;18;105
23/02/2021;-54;-9;-66;-42;-44;19;104
24/02/2021;-55;-11;-67;-52;-43;18;71
25/02/2021;-56;-7;-72;-58;-45;20;69
26/02/2021;-56;-2;-67;-37;-42;21;66
27/02/2021;-66;-21;-62;-53;-31;14;66
28/02/2021;-68;-30;-52;-50;-27;12;63
01/03/2021;-52;-6;-70;-46;-42;18;61
02/03/2021;-53;-6;-66;-41;-42;18;61
03/03/2021;-53;-6;-56;-50;-41;17;46
04/03/2021;-53;-3;-61;-56;-43;19;40
05/03/2021;-55;0;-60;-37;-40;20;39
06/03/2021;-64;-19;-51;-50;-30;14;38
07/03/2021;-68;-29;-56;-46;-25;13;32
08/03/2021;-47;4;-60;-41;-40;17;34
09/03/2021;-50;-3;-55;-38;-41;18;32
10/03/2021;-50;-3;-64;-48;-41;17;31
11/03/2021;-51;1;-66;-53;-43;18;30
12/03/2021;-54;-1;-65;-36;-39;20;38
13/03/2021;-64;-17;-58;-45;-28;14;34
14/03/2021;-66;-27;-51;-43;-25;12;35
15/03/2021;-38;5;-57;-36;-34;13;36
16/03/2021;-40;4;-55;-29;-34;14;34
17/03/2021;-40;3;-52;-42;-33;13;25
18/03/2021;-39;10;-45;-44;-34;13;30
19/03/2021;-42;14;-48;-24;-30;14;29
20/03/2021;-58;-9;-47;-44;-21;12;26
21/03/2021;-62;-23;-41;-39;-19;11;26
22/03/2021;-38;6;-48;-30;-32;13;23
23/03/2021;-38;7;-44;-29;-32;13;21
24/03/2021;-40;5;-54;-38;-33;13;18
25/03/2021;-38;12;-52;-36;-34;13;15
26/03/2021;-45;9;-59;-27;-32;16;20
27/03/2021;-59;-8;-54;-40;-21;13;17
28/03/2021;-64;-26;-48;-45;-20;12;18
29/03/2021;-40;4;-61;-39;-35;14;19
30/03/2021;-39;7;-56;-33;-34;14;21
31/03/2021;-37;12;-53;-38;-34;12;19
01/04/2021;-33;29;-61;-34;-36;12;21
02/04/2021;-63;-5;-67;-64;-72;34;20
03/04/2021;-54;5;-51;-48;-26;13;13
04/04/2021;-70;-59;-51;-46;-21;11;20
05/04/2021;-22;13;-40;-21;-30;9;17
06/04/2021;-21;11;-39;-4;-25;7;14
