DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-8;0;28;-22;-34;9;6
19/08/2020;-8;0;27;-22;-34;8;10
20/08/2020;-8;0;25;-22;-35;9;2
21/08/2020;-8;1;24;-22;-33;8;10
22/08/2020;-8;1;22;-23;-33;3;2
23/08/2020;-8;1;21;-23;-34;6;2
24/08/2020;-8;1;19;-23;-34;9;1
25/08/2020;-7;1;18;-23;-34;8;3
26/08/2020;-7;1;17;-23;-32;8;2
27/08/2020;-7;2;15;-23;-33;9;6
28/08/2020;-7;2;14;-23;-33;7;0
29/08/2020;-7;2;12;-23;-32;3;3
30/08/2020;-7;2;11;-24;-32;5;1
31/08/2020;-7;2;10;-24;-31;7;0
01/09/2020;-7;2;8;-24;-28;7;1
02/09/2020;-7;3;7;-24;-28;5;3
03/09/2020;-7;3;5;-24;-28;7;3
04/09/2020;-7;3;4;-24;-27;5;0
05/09/2020;-7;3;2;-24;-29;2;2
06/09/2020;-6;3;1;-24;-30;5;3
07/09/2020;-6;3;0;-25;-32;8;7
08/09/2020;-6;4;-2;-25;-28;6;2
09/09/2020;-6;4;-3;-25;-27;5;2
10/09/2020;-6;4;-5;-25;-28;5;1
11/09/2020;-6;4;-6;-25;-27;4;5
12/09/2020;-15;1;0;-19;-1;0;39
13/09/2020;-14;0;5;-14;3;3;10
14/09/2020;-1;6;-12;-8;-25;6;8
15/09/2020;-5;6;-8;-12;-24;6;4
16/09/2020;-6;10;-13;-10;-24;5;7
17/09/2020;-10;7;-20;-14;-24;6;10
18/09/2020;-16;2;-18;-18;-23;6;10
19/09/2020;-19;2;-12;-12;0;6;6
20/09/2020;-19;-4;-7;-6;1;6;12
21/09/2020;-8;3;-17;0;-23;5;9
22/09/2020;-12;6;-20;-7;-22;5;4
23/09/2020;-15;8;-29;-11;-17;5;5
24/09/2020;-16;7;-33;-19;-19;6;3
25/09/2020;-14;7;-65;-9;-16;4;3
26/09/2020;-18;4;-48;-6;1;5;0
27/09/2020;-18;-2;-42;-2;5;4;2
28/09/2020;-11;10;-68;-1;-15;6;4
29/09/2020;-9;6;-66;-5;-15;4;1
30/09/2020;-9;15;-69;-5;-16;3;1
01/10/2020;-8;14;-68;-6;-14;3;1
02/10/2020;-13;13;-65;1;-12;3;5
03/10/2020;-3;21;-31;1;2;2;3
04/10/2020;3;14;1;2;-1;3;3
05/10/2020;2;10;-42;2;-69;16;2
06/10/2020;-6;13;-58;2;-14;2;8
07/10/2020;-6;10;-60;1;-10;3;2
08/10/2020;-6;13;-58;3;-11;4;5
09/10/2020;-11;6;-58;7;-11;3;9
10/10/2020;-15;2;-41;7;5;5;2
11/10/2020;-16;0;-27;6;7;4;4
12/10/2020;-6;7;-59;6;-11;5;18
13/10/2020;-9;5;-59;3;-11;5;22
14/10/2020;-13;9;-64;-1;-9;5;20
15/10/2020;-14;10;-65;4;-9;5;39
16/10/2020;-18;9;-65;0;-10;5;37
17/10/2020;-26;4;-50;-4;0;7;24
18/10/2020;-25;-6;-41;-7;-2;6;27
19/10/2020;-19;8;-72;-11;-12;7;50
20/10/2020;-31;-13;-78;-16;-15;11;30
21/10/2020;-17;12;-70;-14;-10;7;24
22/10/2020;-14;8;-67;-11;-11;7;23
23/10/2020;-18;12;-65;-3;-10;6;59
24/10/2020;-26;2;-55;-6;3;7;14
25/10/2020;-36;-11;-67;-9;-6;8;15
26/10/2020;-14;8;-67;-12;-11;7;9
27/10/2020;-14;9;-66;-11;-11;7;32
28/10/2020;-13;10;-69;-9;-10;7;19
29/10/2020;-11;12;-66;4;-11;6;44
30/10/2020;-25;5;-70;-32;-10;8;49
31/10/2020;-39;-7;-68;-48;0;10;36
01/11/2020;-42;-16;-64;-54;-6;11;26
02/11/2020;-22;3;-74;-22;-13;9;52
03/11/2020;-16;6;-71;-16;-12;8;32
04/11/2020;-16;7;-70;-9;-12;7;35
05/11/2020;-22;1;-75;-17;-12;9;52
06/11/2020;-27;2;-77;-19;-12;9;22
07/11/2020;-29;2;-66;-17;-5;9;27
08/11/2020;-36;-12;-71;-16;-11;9;68
09/11/2020;-18;7;-73;-14;-12;8;4
10/11/2020;-15;6;-64;-10;-11;8;17
11/11/2020;-16;10;-69;-13;-10;7;14
12/11/2020;-18;7;-70;-8;-11;8;32
13/11/2020;-21;14;-70;-19;-10;7;33
14/11/2020;-46;-18;-76;-45;-9;13;29
15/11/2020;-45;-27;-67;-43;-11;10;9
16/11/2020;-18;4;-72;-7;-12;8;68
17/11/2020;-18;3;-71;-7;-13;8;48
18/11/2020;-18;3;-70;-14;-11;8;39
19/11/2020;-17;5;-69;-13;-12;8;50
20/11/2020;-19;15;-71;-14;-12;7;11
21/11/2020;-54;-28;-76;-47;-17;15;43
22/11/2020;-55;-34;-72;-29;-22;13;13
23/11/2020;-14;10;-71;-10;-11;7;20
24/11/2020;-14;6;-69;-18;-11;7;139
25/11/2020;-18;5;-77;-15;-11;9;21
26/11/2020;-16;11;-72;-18;-11;8;40
27/11/2020;-16;13;-71;-15;-12;6;25
28/11/2020;-42;-15;-78;-56;-6;12;36
29/11/2020;-45;-24;-73;-68;-12;12;54
30/11/2020;-16;8;-78;-54;-44;18;19
01/12/2020;-34;-14;-77;-62;-69;26;26
02/12/2020;-10;20;-69;12;-9;6;9
03/12/2020;-9;16;-68;-10;-10;7;49
04/12/2020;-20;14;-76;-15;-10;8;27
05/12/2020;-40;-11;-74;-48;-4;12;93
06/12/2020;-46;-20;-74;-71;-10;11;21
07/12/2020;-16;8;-77;-45;-46;18;2
08/12/2020;-39;-13;-76;-56;-69;28;78
09/12/2020;-14;14;-74;-10;-10;7;28
10/12/2020;-17;9;-76;-22;-10;9;69
11/12/2020;-22;7;-76;-19;-10;8;58
12/12/2020;-32;-1;-70;-17;0;10;58
13/12/2020;-36;-12;-69;-14;-8;9;30
14/12/2020;-14;5;-75;-12;-12;8;37
15/12/2020;-11;9;-70;-7;-10;7;70
16/12/2020;-14;12;-75;-17;-12;8;66
17/12/2020;-12;12;-71;-9;-13;8;94
18/12/2020;-17;12;-72;-8;-15;8;58
19/12/2020;-34;-3;-76;-9;-5;11;112
20/12/2020;-27;-7;-59;-10;-7;8;22
21/12/2020;-2;22;-70;-11;-28;10;21
22/12/2020;-2;27;-69;-14;-31;9;125
23/12/2020;2;52;-70;-13;-32;8;124
24/12/2020;-21;24;-73;-34;-58;15;100
25/12/2020;-74;-85;-80;-71;-81;27;47
26/12/2020;-51;-29;-71;-54;-26;14;5
27/12/2020;-49;-31;-67;-37;-17;11;26
28/12/2020;-7;17;-72;-20;-37;14;6
29/12/2020;-10;15;-70;-29;-38;14;92
30/12/2020;-5;43;-68;-24;-37;11;143
31/12/2020;-27;30;-76;-45;-52;18;160
01/01/2021;-85;-91;-89;-84;-84;37;28
02/01/2021;-67;-37;-81;-54;-30;19;70
03/01/2021;-63;-39;-77;-30;-23;14;322
04/01/2021;-17;16;-74;-5;-13;9;51
05/01/2021;-21;6;-73;-14;-13;9;195
06/01/2021;-26;4;-75;-26;-15;10;181
07/01/2021;-26;4;-76;-17;-15;11;198
08/01/2021;-30;12;-79;-22;-16;11;163
09/01/2021;-67;-38;-85;-53;-23;19;94
10/01/2021;-66;-42;-82;-52;-25;16;292
11/01/2021;-15;14;-76;-20;-16;10;178
12/01/2021;-20;5;-76;-14;-19;10;187
13/01/2021;-19;10;-75;-13;-20;8;185
14/01/2021;-25;1;-78;-29;-24;10;238
15/01/2021;-64;-15;-84;-46;-33;15;233
16/01/2021;-76;-35;-86;-67;-36;18;149
17/01/2021;-76;-42;-77;-61;-34;14;150
18/01/2021;-56;-16;-83;-41;-32;15;92
19/01/2021;-60;-15;-84;-52;-33;15;181
20/01/2021;-63;-18;-86;-45;-33;17;178
21/01/2021;-63;-13;-86;-43;-34;18;177
22/01/2021;-68;-15;-87;-49;-45;21;180
23/01/2021;-82;-42;-91;-68;-41;22;181
24/01/2021;-75;-39;-85;-66;-39;16;180
25/01/2021;-64;-19;-87;-52;-48;21;177
26/01/2021;-64;-19;-88;-54;-48;21;175
27/01/2021;-65;-19;-88;-63;-46;20;141
28/01/2021;-62;-15;-85;-61;-46;21;139
29/01/2021;-65;-13;-86;-60;-46;21;137
30/01/2021;-77;-35;-88;-70;-36;19;138
31/01/2021;-83;-45;-91;-74;-38;18;137
01/02/2021;-58;-9;-86;-56;-45;19;136
02/02/2021;-59;-11;-85;-58;-45;19;138
03/02/2021;-63;-19;-87;-65;-45;19;81
04/02/2021;-64;-18;-87;-62;-46;21;79
05/02/2021;-66;-17;-88;-64;-43;20;76
06/02/2021;-79;-36;-89;-79;-36;19;78
07/02/2021;-80;-43;-87;-70;-35;15;75
08/02/2021;-59;-12;-85;-59;-44;18;77
09/02/2021;-61;-15;-88;-53;-45;20;80
10/02/2021;-62;-10;-87;-56;-42;18;39
11/02/2021;-61;-9;-86;-59;-43;19;37
12/02/2021;-61;-5;-84;-57;-42;17;33
13/02/2021;-74;-30;-83;-62;-31;15;36
14/02/2021;-73;-31;-76;-74;-31;12;34
15/02/2021;-54;-3;-83;-51;-46;17;33
16/02/2021;-64;-14;-84;-65;-60;22;41
17/02/2021;-56;-5;-84;-60;-41;15;22
18/02/2021;-58;-4;-84;-58;-41;17;19
19/02/2021;-60;3;-83;-52;-40;17;20
20/02/2021;-74;-27;-87;-70;-34;17;15
21/02/2021;-78;-36;-84;-73;-31;15;15
22/02/2021;-53;-1;-81;-50;-39;16;17
23/02/2021;-54;-1;-82;-50;-40;15;23
24/02/2021;-56;-1;-82;-54;-38;14;12
25/02/2021;-58;-3;-86;-58;-40;18;15
26/02/2021;-57;11;-83;-53;-39;16;10
27/02/2021;-70;-18;-81;-64;-25;13;8
28/02/2021;-73;-26;-75;-63;-26;11;10
01/03/2021;-51;6;-82;-42;-37;14;5
02/03/2021;-55;8;-81;-47;-39;15;7
03/03/2021;-53;5;-81;-54;-37;14;5
04/03/2021;-56;5;-83;-54;-39;16;5
05/03/2021;-55;12;-83;-55;-37;16;7
06/03/2021;-68;-18;-78;-63;-24;13;4
07/03/2021;-72;-23;-76;-65;-25;11;2
08/03/2021;-47;15;-82;-48;-39;14;3
09/03/2021;-50;11;-81;-47;-38;14;4
10/03/2021;-51;9;-81;-51;-36;14;1
11/03/2021;-52;10;-82;-48;-37;16;1
12/03/2021;-55;13;-81;-47;-34;14;2
13/03/2021;-68;-16;-79;-61;-22;12;8
14/03/2021;-72;-22;-73;-53;-19;10;2
15/03/2021;-39;16;-77;-37;-30;11;2
16/03/2021;-41;15;-76;-41;-31;11;6
17/03/2021;-41;14;-77;-41;-29;12;5
18/03/2021;-40;19;-78;-40;-29;12;1
19/03/2021;-42;26;-74;-40;-28;10;3
20/03/2021;-63;-7;-78;-54;-15;12;6
21/03/2021;-67;-18;-70;-53;-14;10;2
22/03/2021;-37;19;-75;-37;-30;11;4
23/03/2021;-39;15;-75;-36;-29;11;1
24/03/2021;-38;18;-76;-36;-28;10;6
25/03/2021;-37;25;-75;-30;-30;11;5
26/03/2021;-45;18;-77;-38;-29;12;2
27/03/2021;-62;-5;-75;-61;-15;12;1
28/03/2021;-68;-22;-72;-65;-16;10;4
29/03/2021;-40;15;-78;-41;-31;12;3
30/03/2021;-40;14;-77;-47;-31;12;5
31/03/2021;-36;25;-76;-37;-29;9;6
01/04/2021;-34;38;-77;-39;-32;12;6
02/04/2021;-63;-1;-84;-71;-66;26;3
03/04/2021;-62;-1;-77;-57;-19;12;4
04/04/2021;-70;-44;-71;-54;-13;9;4
05/04/2021;-24;16;-73;-17;-37;11;3
06/04/2021;-16;26;-69;-17;-21;6;2
