DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;75;60;355;81;-20;3;5
19/08/2020;73;59;351;81;-20;3;8
20/08/2020;76;57;346;80;-23;3;7
21/08/2020;68;54;342;80;-20;2;6
22/08/2020;64;52;338;79;13;-1;9
23/08/2020;62;48;333;79;24;-2;4
24/08/2020;71;56;329;78;-21;4;4
25/08/2020;67;50;325;78;-21;3;4
26/08/2020;62;48;320;77;-19;2;11
27/08/2020;61;42;316;77;-20;3;9
28/08/2020;55;43;312;76;-19;2;32
29/08/2020;51;40;307;76;14;0;5
30/08/2020;45;29;303;75;24;-1;6
31/08/2020;46;34;299;75;-18;4;1
01/09/2020;49;38;294;74;-17;2;10
02/09/2020;46;36;290;74;-16;2;16
03/09/2020;50;32;286;73;-18;2;10
04/09/2020;46;33;281;73;-15;0;9
05/09/2020;44;33;277;72;11;-1;5
06/09/2020;46;28;273;72;22;-2;3
07/09/2020;48;32;268;71;-23;4;2
08/09/2020;47;31;264;71;-19;2;17
09/09/2020;37;25;260;70;-15;1;5
10/09/2020;38;24;255;70;-17;1;16
11/09/2020;33;21;251;68;-15;0;9
12/09/2020;28;18;196;79;12;-1;20
13/09/2020;27;10;147;62;19;-1;10
14/09/2020;25;13;154;44;-14;3;15
15/09/2020;19;8;153;52;-14;2;20
16/09/2020;20;14;130;59;-13;2;24
17/09/2020;20;11;95;41;-16;3;22
18/09/2020;10;7;67;31;-15;3;26
19/09/2020;9;4;83;49;9;3;29
20/09/2020;9;-1;89;42;15;2;6
21/09/2020;13;8;102;34;-13;3;20
22/09/2020;9;5;102;39;-13;2;26
23/09/2020;5;7;90;43;-11;2;15
24/09/2020;6;4;98;30;-12;3;43
25/09/2020;4;3;96;28;-10;1;26
26/09/2020;1;2;81;37;10;3;31
27/09/2020;1;-7;70;31;12;3;21
28/09/2020;4;5;67;21;-9;4;19
29/09/2020;2;0;71;30;-10;2;42
30/09/2020;2;5;59;43;-9;1;23
01/10/2020;3;4;67;28;-10;2;53
02/10/2020;4;7;31;23;-10;1;38
03/10/2020;11;11;79;43;2;1;21
04/10/2020;19;5;96;33;5;2;23
05/10/2020;5;-2;108;13;-55;12;11
06/10/2020;2;2;59;36;-12;1;18
07/10/2020;-1;2;59;36;-8;1;28
08/10/2020;1;1;64;25;-10;2;32
09/10/2020;-1;0;63;24;-8;0;15
10/10/2020;-2;-1;65;34;4;3;29
11/10/2020;0;-7;80;26;5;3;25
12/10/2020;3;5;60;20;-9;3;24
13/10/2020;-5;-4;41;24;-9;2;40
14/10/2020;-6;-2;23;31;-7;3;33
15/10/2020;-7;-2;29;16;-8;3;34
16/10/2020;-8;-1;33;20;-6;1;43
17/10/2020;-11;-5;24;24;1;4;32
18/10/2020;-12;-13;27;16;1;4;30
19/10/2020;-9;-1;4;14;-8;5;23
20/10/2020;-25;-20;-39;-2;-15;8;39
21/10/2020;-10;-3;1;21;-7;4;29
22/10/2020;-7;-4;16;11;-8;4;35
23/10/2020;-4;0;25;18;-8;2;43
24/10/2020;-6;-2;25;24;0;4;38
25/10/2020;-14;-13;-16;12;-3;5;28
26/10/2020;-7;-3;9;9;-8;5;31
27/10/2020;-9;-5;9;10;-12;4;55
28/10/2020;-9;-3;3;15;-7;3;61
29/10/2020;-7;-4;11;15;-9;3;51
30/10/2020;-17;-6;0;-11;-8;4;77
31/10/2020;-26;-14;-10;-9;-3;8;55
01/11/2020;-30;-23;-7;-15;-9;9;59
02/11/2020;-16;-8;-12;-10;-11;7;53
03/11/2020;-11;-6;-13;5;-12;5;118
