Data;Estimado;R^2
2020-09-01 00:00:00;8;0.5120463475073571
2020-09-02 00:00:00;10;0.4820865523550961
2020-09-03 00:00:00;4;0.6977277895994796
2020-09-04 00:00:00;7;0.8157886440243214
2020-09-05 00:00:00;0;0.8348620694018861
2020-09-06 00:00:00;5;0.8941053876261922
2020-09-07 00:00:00;5;0.502203739373857
2020-09-08 00:00:00;12;0.40491380292336066
2020-09-09 00:00:00;10;0.5215420599951197
2020-09-10 00:00:00;14;0.39183529846409115
2020-09-11 00:00:00;13;0.48293482035091195
2020-09-12 00:00:00;16;0.47386941783267267
2020-09-13 00:00:00;6;0.49420365502941155
2020-09-14 00:00:00;15;0.4203551663088836
2020-09-15 00:00:00;24;0.3865918305203093
2020-09-16 00:00:00;25;0.4308756610015555
2020-09-17 00:00:00;22;0.31640738479138364
2020-09-18 00:00:00;29;0.3698090091479985
2020-09-19 00:00:00;18;0.40923715441298414
2020-09-20 00:00:00;4;0.5542017682906142
2020-09-21 00:00:00;20;0.4270419090480462
2020-09-22 00:00:00;26;0.39364760390741005
2020-09-23 00:00:00;22;0.38674042888935034
2020-09-24 00:00:00;33;0.34160634643028653
2020-09-25 00:00:00;24;0.2422950455851801
2020-09-26 00:00:00;21;0.30121401762589983
2020-09-27 00:00:00;17;0.29870940578421623
2020-09-28 00:00:00;23;0.31770235130978886
2020-09-29 00:00:00;32;0.3260362300620243
2020-09-30 00:00:00;23;0.43778309800478665
2020-10-01 00:00:00;38;0.4219052523390383
2020-10-02 00:00:00;31;0.5724453072900566
2020-10-03 00:00:00;22;0.6672436666171806
2020-10-04 00:00:00;21;0.6195240471844484
2020-10-05 00:00:00;20;0.5256786634365934
2020-10-06 00:00:00;24;0.5389470193544484
2020-10-07 00:00:00;29;0.5861844367637055
2020-10-08 00:00:00;24;0.5463033366057322
2020-10-09 00:00:00;20;0.6428773346838423
2020-10-10 00:00:00;23;0.7246174624760116
2020-10-11 00:00:00;29;0.5858052667671729
2020-10-12 00:00:00;29;0.5913162912580578
2020-10-13 00:00:00;34;0.6023267436998094
2020-10-14 00:00:00;35;0.6564428782546003
2020-10-15 00:00:00;33;0.7849990052379796
2020-10-16 00:00:00;48;0.8055960989821536
2020-10-17 00:00:00;26;0.7099581452691315
2020-10-18 00:00:00;24;0.7397453524969335
2020-10-19 00:00:00;21;0.8260214942268702
2020-10-20 00:00:00;37;0.855644133410367
2020-10-21 00:00:00;40;0.9056378796507111
2020-10-22 00:00:00;36;0.8765328360797368
2020-10-23 00:00:00;47;0.7777920960253424
2020-10-24 00:00:00;21;0.778096196726832
2020-10-25 00:00:00;21;0.8146336738429498
2020-10-26 00:00:00;36;0.6205394716352695
2020-10-27 00:00:00;65;0.5306624893234342
2020-10-28 00:00:00;67;0.5366005871416935
2020-10-29 00:00:00;74;0.5674337618295393
2020-10-30 00:00:00;79;0.6433963541677111
