DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;18;31;136;22;-36;9;13
19/08/2020;16;27;135;21;-37;7;7
20/08/2020;8;26;134;19;-41;13;6
21/08/2020;4;19;134;18;-37;10;5
22/08/2020;-1;13;133;16;-6;1;6
23/08/2020;0;9;132;15;9;-1;3
24/08/2020;10;23;126;13;-36;8;4
25/08/2020;12;26;120;12;-35;8;8
26/08/2020;8;22;114;11;-35;8;9
27/08/2020;7;21;109;9;-35;8;4
28/08/2020;-1;16;103;8;-34;9;4
29/08/2020;-6;10;97;6;-7;1;4
30/08/2020;-7;4;91;5;12;-1;2
31/08/2020;1;15;93;4;-31;8;2
01/09/2020;1;19;94;2;-27;7;6
02/09/2020;0;13;96;1;-26;6;9
03/09/2020;0;12;98;-1;-28;6;3
04/09/2020;-4;12;100;-2;-27;7;14
05/09/2020;-6;10;101;-4;-6;1;7
06/09/2020;-7;4;103;-5;9;-2;0
07/09/2020;1;14;112;-6;-27;6;3
08/09/2020;0;15;120;-8;-26;6;12
09/09/2020;-3;10;129;-9;-24;5;22
10/09/2020;-2;12;137;-11;-26;4;14
11/09/2020;-5;9;146;-12;-25;4;8
12/09/2020;-9;6;121;5;-5;-2;7
13/09/2020;-12;1;62;-3;10;-2;17
14/09/2020;-4;10;101;-8;-21;5;8
15/09/2020;-3;11;88;-13;-19;6;5
16/09/2020;-3;12;89;-4;-20;5;25
17/09/2020;-6;11;69;6;-23;5;11
18/09/2020;-19;-3;2;-5;-21;7;16
19/09/2020;-19;4;-1;-22;-5;6;6
20/09/2020;-20;-4;3;-21;7;5;14
21/09/2020;-7;9;56;6;-20;5;5
22/09/2020;-10;9;46;8;-17;5;23
23/09/2020;-11;8;49;8;-16;5;19
24/09/2020;-13;8;57;7;-18;5;20
25/09/2020;-15;6;39;7;-17;6;18
26/09/2020;-19;2;22;-1;-1;5;19
27/09/2020;-22;-5;1;6;5;5;15
28/09/2020;-13;11;35;2;-14;5;12
29/09/2020;-10;11;45;8;-12;5;15
30/09/2020;-10;13;35;12;-13;3;18
01/10/2020;-11;14;39;12;-13;3;18
02/10/2020;-15;9;7;14;-13;4;15
03/10/2020;-11;11;32;12;-6;2;8
04/10/2020;-10;3;26;11;-1;2;16
05/10/2020;-15;5;157;-19;-73;18;14
06/10/2020;-11;13;22;17;-12;3;13
07/10/2020;-11;7;44;7;-10;3;20
08/10/2020;-10;14;38;11;-12;4;22
09/10/2020;-13;7;33;13;-11;4;13
10/10/2020;-15;5;30;-5;-2;5;18
11/10/2020;-17;1;20;15;3;4;15
12/10/2020;-11;8;41;16;-11;4;8
13/10/2020;-12;7;16;1;-8;5;34
14/10/2020;-13;6;29;4;-7;4;28
15/10/2020;-14;11;36;5;-8;4;54
16/10/2020;-15;9;26;6;-7;5;20
17/10/2020;-20;3;7;-15;-2;6;26
18/10/2020;-23;-5;1;-1;2;5;24
19/10/2020;-24;2;-22;-4;-9;8;10
20/10/2020;-23;1;-31;-11;-8;8;39
21/10/2020;-14;8;6;-6;-5;6;47
22/10/2020;-14;9;25;1;-7;6;51
23/10/2020;-16;8;20;6;-6;6;43
24/10/2020;-23;3;-16;-30;-2;7;38
25/10/2020;-36;-11;-53;-19;-3;9;30
26/10/2020;-15;9;20;2;-7;6;31
27/10/2020;-14;9;8;-4;-6;6;68
28/10/2020;-12;9;45;1;-5;5;75
29/10/2020;-10;15;88;15;-8;4;54
30/10/2020;-23;7;3;-13;-7;8;92
31/10/2020;-35;-4;-32;-42;-5;11;39
01/11/2020;-47;-23;-54;-49;-7;12;58
02/11/2020;-24;1;-19;-13;-10;9;30
03/11/2020;-15;8;0;-5;-7;7;87
04/11/2020;-16;7;1;-5;-6;6;68
05/11/2020;-19;7;-6;-3;-9;7;88
06/11/2020;-23;1;-24;-7;-10;9;87
07/11/2020;-26;1;-39;-31;-7;9;69
08/11/2020;-35;-12;-47;-25;-7;9;51
09/11/2020;-18;8;-2;-5;-9;7;33
10/11/2020;-15;8;3;-6;-6;7;88
11/11/2020;-17;7;11;-15;-12;8;147
12/11/2020;-17;7;12;-13;-10;7;125
13/11/2020;-21;8;-5;-9;-10;9;137
14/11/2020;-33;-8;-36;-40;-8;11;98
15/11/2020;-40;-21;-43;-33;-10;11;110
16/11/2020;-19;4;9;-9;-9;7;74
17/11/2020;-17;3;6;-15;-7;7;170
18/11/2020;-18;2;2;-15;-6;7;173
19/11/2020;-16;5;13;-6;-9;7;131
20/11/2020;-18;8;4;-1;-8;8;123
21/11/2020;-27;-3;-16;-32;-9;9;98
22/11/2020;-33;-15;-32;-29;-11;10;75
23/11/2020;-18;5;-1;-8;-9;7;35
24/11/2020;-16;6;-8;-13;-7;7;146
25/11/2020;-22;0;-27;-16;-8;9;161
26/11/2020;-16;8;-4;-9;-10;7;97
27/11/2020;-16;9;-8;1;-9;7;103
