DATA;RR;GPH;P;T;WP;RS;NC
15/05/2021;-29;-7;2;-30;-10;4;99
16/05/2021;-34;-12;-29;-39;-9;4;95
17/05/2021;-23;12;-1;-35;-27;11;98
18/05/2021;-24;8;-8;-36;-26;11;94
19/05/2021;-21;10;-1;-33;-25;10;93
20/05/2021;-20;12;10;-36;-28;10;129
21/05/2021;-25;12;1;-33;-23;9;134
22/05/2021;-29;-5;-6;-33;-7;5;133
23/05/2021;-32;-12;-17;-38;-8;3;131
24/05/2021;-24;13;-9;-37;-26;12;135
25/05/2021;-22;11;2;-35;-25;11;135
26/05/2021;-21;10;3;-33;-24;10;130
27/05/2021;-18;14;8;-34;-23;10;168
28/05/2021;-21;15;7;-31;-21;8;167
29/05/2021;-25;-2;6;-28;-5;3;165
30/05/2021;-28;-7;-5;-33;-6;1;172
31/05/2021;-16;23;-1;-33;-24;10;167
01/06/2021;-12;20;2;-31;-24;9;165
02/06/2021;-12;18;-2;-29;-24;7;222
03/06/2021;-20;3;28;-51;-73;22;223
04/06/2021;-25;15;-3;-34;-30;11;219
05/06/2021;-29;-8;6;-28;-7;3;222
06/06/2021;-32;-12;-9;-33;-7;0;220
07/06/2021;-19;16;5;-35;-28;10;222
08/06/2021;-16;17;7;-35;-26;10;220
09/06/2021;-13;18;10;-30;-25;6;332
10/06/2021;-27;-3;33;-52;-74;19;333
11/06/2021;-28;11;-1;-37;-35;11;331
12/06/2021;-33;-9;1;-31;-9;3;331
13/06/2021;-35;-13;-13;-33;-7;-2;336
14/06/2021;-20;14;7;-33;-25;10;331
15/06/2021;-22;8;1;-34;-24;11;333
16/06/2021;-18;14;-1;-32;-24;9;472
17/06/2021;-21;12;-10;-34;-25;10;474
18/06/2021;-27;12;-16;-35;-23;11;478
19/06/2021;-34;-1;-25;-37;-6;8;471
20/06/2021;-34;-9;-28;-40;-8;7;476
21/06/2021;-21;13;-1;-36;-28;11;471
22/06/2021;-20;11;-1;-36;-28;11;474
23/06/2021;-20;12;0;-34;-27;10;475
