DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-31;-21;17;-47;-49;12;129
19/08/2020;-32;-22;21;-47;-49;12;152
20/08/2020;-34;-23;-16;-50;-50;14;79
21/08/2020;-38;-20;11;-47;-49;12;95
22/08/2020;-41;-28;5;-38;-15;1;35
23/08/2020;-40;-29;-8;-41;-4;-2;43
24/08/2020;-32;-20;24;-48;-49;11;84
25/08/2020;-32;-20;22;-47;-48;11;140
26/08/2020;-32;-21;22;-47;-46;11;126
27/08/2020;-31;-20;20;-46;-47;11;123
28/08/2020;-35;-18;5;-46;-46;12;123
29/08/2020;-37;-23;-3;-38;-15;1;85
30/08/2020;-36;-24;-10;-40;-6;-2;85
31/08/2020;-24;-10;21;-44;-45;11;102
01/09/2020;-24;-11;9;-42;-43;10;110
02/09/2020;-25;-14;22;-42;-42;10;166
03/09/2020;-24;-13;30;-41;-42;10;142
04/09/2020;-31;-15;19;-40;-41;9;175
05/09/2020;-34;-21;13;-33;-15;1;91
06/09/2020;-34;-21;1;-37;-10;-2;79
07/09/2020;-25;-12;24;-41;-43;10;167
08/09/2020;-24;-11;22;-41;-42;10;238
09/09/2020;-24;-13;21;-40;-40;9;168
10/09/2020;-23;-12;28;-38;-41;9;294
11/09/2020;-30;-13;19;-40;-40;10;149
12/09/2020;-31;-18;16;-34;-14;2;256
13/09/2020;-32;-20;-9;-38;-10;1;220
14/09/2020;-24;-10;12;-41;-37;11;176
15/09/2020;-24;-11;5;-40;-36;12;221
16/09/2020;-22;-9;7;-38;-36;10;274
17/09/2020;-24;-9;-2;-39;-38;11;339
18/09/2020;-35;-15;-29;-42;-37;12;284
19/09/2020;-30;-13;-14;-36;-15;6;107
20/09/2020;-31;-17;-20;-40;-11;5;330
21/09/2020;-24;-9;5;-39;-36;10;164
22/09/2020;-27;-11;-8;-39;-36;11;309
23/09/2020;-28;-11;-8;-38;-34;11;255
24/09/2020;-27;-9;-4;-37;-34;10;351
25/09/2020;-31;-9;-7;-37;-33;10;304
26/09/2020;-31;-13;-7;-33;-11;5;202
27/09/2020;-33;-18;-22;-39;-11;5;127
28/09/2020;-27;-7;-8;-40;-32;11;353
29/09/2020;-25;-7;-4;-36;-31;10;312
30/09/2020;-23;-4;-5;-33;-31;9;281
01/10/2020;-23;-2;-3;-33;-29;9;260
02/10/2020;-31;-7;-24;-34;-30;10;305
03/10/2020;-30;-12;-12;-32;-13;3;253
04/10/2020;-32;-20;-28;-40;-12;5;262
05/10/2020;-33;-17;14;-58;-76;20;98
06/10/2020;-27;-8;-8;-34;-31;9;352
07/10/2020;-26;-8;-1;-33;-29;9;353
08/10/2020;-24;-5;0;-34;-29;9;424
09/10/2020;-29;-7;-5;-34;-28;10;391
10/10/2020;-29;-13;2;-32;-10;5;219
11/10/2020;-32;-17;-11;-37;-11;5;379
12/10/2020;-28;-8;-5;-37;-29;11;238
13/10/2020;-28;-10;-11;-36;-28;11;643
14/10/2020;-28;-10;-13;-34;-26;11;522
15/10/2020;-27;-6;-8;-34;-26;10;577
16/10/2020;-31;-5;-10;-35;-25;11;530
17/10/2020;-31;-11;-7;-33;-11;7;267
18/10/2020;-35;-18;-21;-40;-13;6;577
19/10/2020;-40;-19;-43;-43;-28;14;322
20/10/2020;-39;-17;-51;-45;-29;15;600
21/10/2020;-29;-7;-25;-37;-26;12;640
22/10/2020;-28;-7;-16;-36;-26;12;616
23/10/2020;-30;-3;-13;-35;-25;11;698
24/10/2020;-33;-11;-22;-37;-12;8;348
25/10/2020;-42;-22;-58;-49;-17;9;343
26/10/2020;-29;-6;-16;-39;-26;12;711
27/10/2020;-29;-8;-23;-38;-26;12;742
28/10/2020;-27;-8;-24;-38;-25;12;787
29/10/2020;-24;-3;-9;-35;-25;10;878
30/10/2020;-34;-4;-17;-41;-26;15;821
31/10/2020;-37;-9;-23;-45;-13;13;535
01/11/2020;-44;-21;-45;-53;-17;13;506
02/11/2020;-34;-9;-30;-46;-29;15;397
03/11/2020;-29;-8;-28;-42;-27;13;1426
04/11/2020;-31;-10;-32;-41;-28;14;759
05/11/2020;-32;-10;-35;-43;-29;15;936
06/11/2020;-38;-11;-44;-45;-29;16;1061
07/11/2020;-35;-13;-41;-43;-13;10;584
08/11/2020;-40;-22;-52;-50;-17;10;788
09/11/2020;-32;-8;-26;-45;-30;15;402
10/11/2020;-30;-9;-25;-43;-29;15;860
11/11/2020;-31;-9;-26;-41;-30;15;837
12/11/2020;-29;-7;-18;-41;-29;14;1133
13/11/2020;-32;5;-28;-42;-28;15;905
14/11/2020;-66;-44;-64;-64;-32;21;649
15/11/2020;-64;-47;-59;-65;-34;17;845
16/11/2020;-29;-5;-23;-44;-29;14;434
17/11/2020;-30;-10;-27;-43;-29;15;1174
18/11/2020;-30;-11;-25;-42;-28;14;938
19/11/2020;-27;-7;-18;-42;-29;14;1126
20/11/2020;-30;2;-19;-41;-27;14;948
21/11/2020;-60;-38;-46;-59;-29;18;590
22/11/2020;-58;-41;-49;-61;-31;15;696
23/11/2020;-27;-3;-22;-44;-28;13;704
24/11/2020;-28;-7;-26;-44;-28;14;746
25/11/2020;-31;-12;-41;-45;-28;15;1138
26/11/2020;-26;-5;-32;-43;-28;14;912
27/11/2020;-26;3;-26;-41;-26;12;803
28/11/2020;-59;-37;-62;-60;-27;19;597
29/11/2020;-58;-42;-70;-65;-30;17;550
30/11/2020;-40;-17;-42;-60;-57;26;364
01/12/2020;-53;-35;-26;-72;-78;36;616
02/12/2020;-19;5;-21;-37;-26;11;618
03/12/2020;-20;3;-19;-40;-27;12;982
04/12/2020;-33;-3;-48;-44;-27;14;949
05/12/2020;-57;-34;-61;-59;-25;19;367
06/12/2020;-57;-41;-69;-64;-27;17;564
07/12/2020;-39;-18;-43;-60;-57;26;579
08/12/2020;-55;-37;-53;-74;-78;36;849
09/12/2020;-21;1;-32;-39;-25;11;500
10/12/2020;-27;-8;-43;-43;-27;14;1017
11/12/2020;-30;-3;-41;-41;-26;14;692
12/12/2020;-42;-21;-46;-50;-16;13;745
13/12/2020;-44;-31;-59;-55;-19;12;474
14/12/2020;-23;-5;-32;-43;-27;13;412
15/12/2020;-21;-6;-24;-40;-26;12;812
16/12/2020;-22;-5;-30;-40;-26;13;776
17/12/2020;-17;2;-13;-36;-26;12;786
18/12/2020;-24;1;-28;-36;-25;13;725
19/12/2020;-40;-19;-40;-43;-15;11;505
20/12/2020;-38;-24;-38;-46;-14;10;500
21/12/2020;-11;7;-16;-41;-38;14;372
22/12/2020;-11;8;-8;-40;-39;13;922
23/12/2020;-13;19;-27;-41;-41;13;681
24/12/2020;-34;0;-34;-59;-67;18;887
25/12/2020;-85;-85;-44;-80;-87;32;225
26/12/2020;-52;-39;-32;-52;-34;14;263
27/12/2020;-49;-39;-46;-53;-18;10;403
28/12/2020;-22;-7;-26;-48;-46;18;693
29/12/2020;-23;-7;-29;-49;-46;18;1229
30/12/2020;-16;15;-16;-44;-44;14;1651
31/12/2020;-32;13;-36;-58;-60;22;1213
01/01/2021;-88;-88;-67;-84;-89;43;770
02/01/2021;-65;-44;-51;-59;-39;21;644
03/01/2021;-59;-43;-52;-54;-25;15;798
04/01/2021;-25;2;-32;-42;-28;13;1098
05/01/2021;-26;-6;-26;-43;-27;14;1873
06/01/2021;-27;-7;-37;-43;-27;14;2149
07/01/2021;-28;-6;-30;-43;-27;15;2364
08/01/2021;-32;1;-38;-44;-26;15;1716
09/01/2021;-62;-39;-61;-58;-27;20;1496
10/01/2021;-59;-42;-55;-59;-26;16;1337
11/01/2021;-24;5;-28;-45;-28;14;1976
12/01/2021;-26;-3;-28;-45;-28;14;2442
13/01/2021;-23;-3;-25;-43;-28;12;2542
14/01/2021;-28;-5;-30;-48;-32;14;2516
15/01/2021;-66;-20;-49;-58;-42;23;2438
16/01/2021;-73;-35;-55;-66;-40;21;2503
17/01/2021;-73;-42;-58;-65;-38;17;1611
18/01/2021;-62;-21;-40;-59;-44;22;3301
19/01/2021;-65;-23;-53;-61;-45;23;3101
20/01/2021;-68;-27;-58;-62;-45;24;3108
21/01/2021;-68;-24;-62;-63;-47;25;3105
22/01/2021;-71;-21;-61;-66;-57;31;3116
23/01/2021;-82;-47;-80;-74;-49;25;3109
24/01/2021;-76;-37;-71;-69;-41;18;3107
25/01/2021;-69;-29;-61;-69;-59;29;3109
26/01/2021;-69;-29;-61;-69;-59;29;3109
27/01/2021;-69;-28;-56;-67;-58;29;3450
28/01/2021;-67;-23;-56;-67;-59;29;3444
29/01/2021;-69;-18;-62;-67;-57;31;3447
30/01/2021;-76;-36;-66;-70;-45;23;3453
31/01/2021;-80;-46;-82;-76;-45;21;3447
01/02/2021;-65;-19;-58;-68;-58;28;3452
02/02/2021;-66;-22;-56;-68;-58;29;3453
03/02/2021;-66;-24;-53;-67;-57;28;2467
04/02/2021;-66;-21;-53;-67;-58;28;2465
05/02/2021;-69;-19;-62;-67;-57;30;2467
06/02/2021;-78;-39;-75;-73;-45;23;2472
07/02/2021;-79;-44;-76;-76;-43;20;2473
08/02/2021;-64;-19;-53;-67;-57;27;2469
09/02/2021;-67;-25;-61;-68;-57;29;2470
10/02/2021;-67;-24;-61;-67;-56;28;1198
11/02/2021;-66;-21;-61;-67;-56;28;1198
12/02/2021;-66;-12;-47;-64;-54;28;1195
13/02/2021;-72;-30;-48;-67;-40;20;1198
14/02/2021;-72;-33;-51;-69;-35;17;1195
15/02/2021;-62;-14;-40;-65;-56;26;1195
16/02/2021;-66;-20;-47;-69;-65;30;1193
17/02/2021;-64;-19;-50;-64;-54;26;613
18/02/2021;-65;-18;-52;-65;-55;27;613
19/02/2021;-66;-12;-56;-64;-53;28;613
20/02/2021;-80;-46;-83;-75;-43;24;612
21/02/2021;-75;-36;-66;-71;-36;18;612
22/02/2021;-62;-14;-41;-64;-53;25;607
23/02/2021;-63;-17;-47;-65;-54;26;610
24/02/2021;-62;-17;-36;-63;-52;25;362
25/02/2021;-62;-13;-45;-63;-53;26;362
26/02/2021;-64;-8;-56;-63;-51;27;359
27/02/2021;-69;-22;-39;-63;-33;18;359
28/02/2021;-70;-28;-44;-64;-31;15;364
01/03/2021;-59;-8;-38;-62;-52;24;357
02/03/2021;-60;-10;-36;-62;-52;24;357
03/03/2021;-61;-12;-36;-61;-52;24;233
04/03/2021;-64;-17;-56;-64;-53;26;228
05/03/2021;-63;-7;-49;-62;-51;26;231
06/03/2021;-69;-23;-32;-62;-33;17;225
07/03/2021;-71;-30;-50;-66;-30;15;233
08/03/2021;-58;-5;-40;-62;-52;23;230
09/03/2021;-59;-11;-32;-61;-52;24;231
10/03/2021;-59;-11;-30;-60;-51;24;174
11/03/2021;-60;-9;-37;-61;-51;24;171
12/03/2021;-63;-6;-42;-60;-49;25;172
13/03/2021;-69;-23;-37;-62;-31;17;174
14/03/2021;-70;-28;-40;-64;-27;14;172
15/03/2021;-51;-3;-21;-57;-45;20;171
16/03/2021;-51;-5;-17;-55;-45;20;171
17/03/2021;-52;-5;-17;-54;-44;20;129
18/03/2021;-51;-1;-19;-54;-44;20;133
19/03/2021;-53;4;-26;-54;-42;20;134
20/03/2021;-64;-16;-30;-58;-25;16;133
21/03/2021;-66;-24;-31;-62;-24;13;135
22/03/2021;-51;-3;-18;-56;-44;19;130
23/03/2021;-52;-5;-20;-56;-44;20;128
24/03/2021;-52;-6;-21;-54;-43;20;116
25/03/2021;-51;-1;-22;-53;-44;19;119
26/03/2021;-56;1;-32;-55;-43;22;119
27/03/2021;-64;-14;-32;-58;-23;16;124
28/03/2021;-68;-28;-40;-63;-24;15;120
29/03/2021;-52;-4;-23;-57;-45;21;120
30/03/2021;-52;-3;-28;-57;-45;21;116
31/03/2021;-48;3;-20;-53;-44;19;129
01/04/2021;-46;15;-32;-54;-46;20;128
02/04/2021;-68;-11;-27;-72;-76;38;128
03/04/2021;-63;-7;-39;-60;-29;18;130
04/04/2021;-72;-50;-41;-63;-21;13;129
05/04/2021;-39;4;-6;-49;-39;16;127
06/04/2021;-39;1;-6;-47;-37;14;130
