DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-8;7;47;-30;-46;13;39
19/08/2020;-11;3;16;-31;-46;13;62
20/08/2020;-7;3;94;-32;-46;12;39
21/08/2020;-17;-1;80;-34;-46;12;42
22/08/2020;-23;-13;47;-32;-17;1;45
23/08/2020;-25;-18;48;-31;-2;-3;18
24/08/2020;-11;1;121;-33;-46;10;28
25/08/2020;-10;3;110;-32;-46;10;55
26/08/2020;-11;0;100;-31;-44;10;80
27/08/2020;-9;2;112;-33;-45;10;61
28/08/2020;-19;2;66;-35;-44;11;72
29/08/2020;-23;-10;31;-32;-17;1;37
30/08/2020;-22;-12;32;-29;-1;-2;45
31/08/2020;-9;8;69;-28;-39;10;34
01/09/2020;-9;7;56;-27;-34;8;99
02/09/2020;-10;4;68;-28;-33;8;69
03/09/2020;-8;2;107;-30;-33;8;60
04/09/2020;-18;0;61;-32;-33;9;72
05/09/2020;-20;-8;47;-30;-12;1;63
06/09/2020;-22;-12;53;-31;-1;-2;41
07/09/2020;-12;2;74;-29;-32;8;69
08/09/2020;-11;6;64;-28;-31;8;120
09/09/2020;-11;3;65;-26;-29;7;143
10/09/2020;-8;4;91;-30;-30;7;104
11/09/2020;-17;0;64;-30;-30;7;99
12/09/2020;-20;-8;56;-31;-9;0;86
13/09/2020;-22;-10;32;-31;0;-1;73
14/09/2020;-13;2;44;-27;-26;8;84
15/09/2020;-12;4;35;-28;-25;8;88
16/09/2020;-10;6;32;-25;-25;8;125
17/09/2020;-11;4;29;-30;-27;7;174
18/09/2020;-22;-2;9;-32;-26;8;144
19/09/2020;-27;-7;-39;-39;-11;8;121
20/09/2020;-24;-6;-12;-33;-2;5;50
21/09/2020;-14;1;32;-26;-26;7;173
22/09/2020;-16;2;12;-27;-24;8;129
23/09/2020;-17;3;5;-26;-22;8;142
24/09/2020;-15;1;21;-30;-23;7;159
25/09/2020;-22;0;8;-31;-23;8;164
26/09/2020;-25;-5;-22;-35;-8;7;144
27/09/2020;-25;-9;-3;-32;-2;5;79
28/09/2020;-18;4;14;-26;-21;8;123
29/09/2020;-16;5;19;-26;-20;7;161
30/09/2020;-13;10;10;-21;-19;6;178
01/10/2020;-13;9;14;-28;-18;6;195
02/10/2020;-22;3;-14;-28;-19;8;186
03/10/2020;-21;0;-16;-30;-9;5;232
04/10/2020;-21;-8;-15;-31;-5;4;166
05/10/2020;-25;-1;-12;-47;-76;25;139
06/10/2020;-18;5;-6;-23;-20;7;244
07/10/2020;-16;3;11;-21;-18;7;437
08/10/2020;-13;7;29;-24;-18;7;431
09/10/2020;-21;2;16;-26;-18;7;617
10/10/2020;-20;-2;18;-29;-6;6;437
11/10/2020;-24;-7;14;-30;-3;5;412
12/10/2020;-18;3;24;-24;-18;8;534
13/10/2020;-20;4;0;-25;-18;8;647
14/10/2020;-19;4;-1;-25;-16;9;831
15/10/2020;-17;5;20;-27;-16;7;980
16/10/2020;-24;4;6;-28;-16;9;783
17/10/2020;-28;-1;-28;-38;-6;9;816
18/10/2020;-30;-10;-3;-35;-5;8;657
19/10/2020;-29;-2;-25;-32;-18;11;781
20/10/2020;-27;0;-32;-33;-18;11;999
21/10/2020;-22;4;-14;-28;-15;10;1344
