Data;Predicted
2020-09-15 00:00:00;115
2020-09-16 00:00:00;87
2020-09-17 00:00:00;75
2020-09-18 00:00:00;85
2020-09-19 00:00:00;69
2020-09-20 00:00:00;85
2020-09-21 00:00:00;129
2020-09-22 00:00:00;101
2020-09-23 00:00:00;140
2020-09-24 00:00:00;82
2020-09-25 00:00:00;107
2020-09-26 00:00:00;91
2020-09-27 00:00:00;23
2020-09-28 00:00:00;97
2020-09-29 00:00:00;86
2020-09-30 00:00:00;122
2020-10-01 00:00:00;271
2020-10-02 00:00:00;167
2020-10-03 00:00:00;161
2020-10-04 00:00:00;122
2020-10-05 00:00:00;153
2020-10-06 00:00:00;160
2020-10-07 00:00:00;208
2020-10-08 00:00:00;188
2020-10-09 00:00:00;359
2020-10-10 00:00:00;281
2020-10-11 00:00:00;20
2020-10-12 00:00:00;539
2020-10-13 00:00:00;537
2020-10-14 00:00:00;630
2020-10-15 00:00:00;802
2020-10-16 00:00:00;583
2020-10-17 00:00:00;667
2020-10-18 00:00:00;158
2020-10-19 00:00:00;-1382
2020-10-20 00:00:00;685
2020-10-21 00:00:00;497
2020-10-22 00:00:00;787
2020-10-23 00:00:00;569
2020-10-24 00:00:00;608
2020-10-25 00:00:00;900
2020-10-26 00:00:00;1181
2020-10-27 00:00:00;1084
2020-10-28 00:00:00;881
2020-10-29 00:00:00;1198
2020-10-30 00:00:00;1642
2020-10-31 00:00:00;966
2020-11-01 00:00:00;1113
2020-11-02 00:00:00;1101
2020-11-03 00:00:00;885
2020-11-04 00:00:00;1521
2020-11-05 00:00:00;1219
2020-11-06 00:00:00;98
2020-11-07 00:00:00;2171
2020-11-08 00:00:00;2258
2020-11-09 00:00:00;1968
2020-11-10 00:00:00;2684
2020-11-11 00:00:00;1858
2020-11-12 00:00:00;2117
2020-11-13 00:00:00;864
2020-11-14 00:00:00;1437
2020-11-15 00:00:00;2281
2020-11-16 00:00:00;2999
2020-11-17 00:00:00;2656
2020-11-18 00:00:00;1770
2020-11-19 00:00:00;2062
2020-11-20 00:00:00;1850
2020-11-21 00:00:00;1664
2020-11-22 00:00:00;1179
2020-11-23 00:00:00;1916
2020-11-24 00:00:00;1808
2020-11-25 00:00:00;1594
2020-11-26 00:00:00;1649
2020-11-27 00:00:00;1552
2020-11-28 00:00:00;2147
2020-11-29 00:00:00;794
2020-11-30 00:00:00;1366
2020-12-01 00:00:00;1639
2020-12-02 00:00:00;1931
2020-12-03 00:00:00;926
2020-12-04 00:00:00;1188
2020-12-05 00:00:00;903
2020-12-06 00:00:00;639
2020-12-07 00:00:00;1267
2020-12-08 00:00:00;1027
2020-12-09 00:00:00;883
2020-12-10 00:00:00;1189
2020-12-11 00:00:00;735
2020-12-12 00:00:00;901
2020-12-13 00:00:00;637
2020-12-14 00:00:00;4279
2020-12-15 00:00:00;366
2020-12-16 00:00:00;882
2020-12-17 00:00:00;878
2020-12-18 00:00:00;918
2020-12-19 00:00:00;1006
2020-12-20 00:00:00;455
2020-12-21 00:00:00;502
2020-12-22 00:00:00;528
2020-12-23 00:00:00;667
2020-12-24 00:00:00;660
2020-12-25 00:00:00;734
2020-12-26 00:00:00;1206
2020-12-27 00:00:00;405
2020-12-28 00:00:00;733
2020-12-29 00:00:00;749
2020-12-30 00:00:00;803
2020-12-31 00:00:00;786
2021-01-01 00:00:00;600
2021-01-02 00:00:00;484
2021-01-03 00:00:00;706
2021-01-04 00:00:00;929
2021-01-05 00:00:00;1362
2021-01-06 00:00:00;720
2021-01-07 00:00:00;2860
2021-01-08 00:00:00;1727
2021-01-09 00:00:00;884
2021-01-10 00:00:00;406
2021-01-11 00:00:00;1570
2021-01-12 00:00:00;1189
2021-01-13 00:00:00;791
2021-01-14 00:00:00;1000
2021-01-15 00:00:00;1199
2021-01-16 00:00:00;940
2021-01-17 00:00:00;1061
2021-01-18 00:00:00;1228
2021-01-19 00:00:00;1078
2021-01-20 00:00:00;1222
2021-01-21 00:00:00;1396
2021-01-22 00:00:00;1400
2021-01-23 00:00:00;1490
2021-01-24 00:00:00;1093
2021-01-25 00:00:00;1443
2021-01-26 00:00:00;1417
2021-01-27 00:00:00;1312
2021-01-28 00:00:00;1433
2021-01-29 00:00:00;1372
2021-01-30 00:00:00;1347
2021-01-31 00:00:00;1001
2021-02-01 00:00:00;1328
2021-02-02 00:00:00;1316
2021-02-03 00:00:00;1357
2021-02-04 00:00:00;1246
2021-02-05 00:00:00;151
2021-02-06 00:00:00;835
2021-02-07 00:00:00;983
2021-02-08 00:00:00;696
2021-02-09 00:00:00;656
2021-02-10 00:00:00;830
2021-02-11 00:00:00;884
2021-02-12 00:00:00;549
2021-02-13 00:00:00;834
2021-02-14 00:00:00;696
2021-02-15 00:00:00;407
2021-02-16 00:00:00;307
2021-02-17 00:00:00;446
2021-02-18 00:00:00;149
2021-02-19 00:00:00;424
2021-02-20 00:00:00;202
2021-02-21 00:00:00;389
2021-02-22 00:00:00;174
2021-02-23 00:00:00;186
2021-02-24 00:00:00;78
2021-02-25 00:00:00;247
2021-02-26 00:00:00;11
2021-02-27 00:00:00;-97
2021-02-28 00:00:00;26
2021-03-01 00:00:00;20
2021-03-02 00:00:00;400
2021-03-03 00:00:00;184
2021-03-04 00:00:00;133
2021-03-05 00:00:00;145
2021-03-06 00:00:00;143
2021-03-07 00:00:00;161
2021-03-08 00:00:00;116
2021-03-09 00:00:00;117
2021-03-10 00:00:00;105
2021-03-11 00:00:00;117
2021-03-12 00:00:00;117
2021-03-13 00:00:00;101
2021-03-14 00:00:00;103
2021-03-15 00:00:00;99
2021-03-16 00:00:00;84
2021-03-17 00:00:00;82
2021-03-18 00:00:00;79
2021-03-19 00:00:00;85
2021-03-20 00:00:00;79
2021-03-21 00:00:00;78
2021-03-22 00:00:00;80
2021-03-23 00:00:00;82
2021-03-24 00:00:00;73
2021-03-25 00:00:00;76
2021-03-26 00:00:00;76
2021-03-27 00:00:00;74
2021-03-28 00:00:00;78
2021-03-29 00:00:00;87
2021-03-30 00:00:00;83
2021-03-31 00:00:00;86
2021-04-01 00:00:00;87
2021-04-02 00:00:00;92
2021-04-03 00:00:00;84
2021-04-04 00:00:00;79
2021-04-05 00:00:00;79
2021-04-06 00:00:00;80
