Data;Estimado;R^2
2020-09-01 00:00:00;12;0.3544989546052444
2020-09-02 00:00:00;3;0.4083523018173656
2020-09-03 00:00:00;-2;0.5010834316258062
2020-09-04 00:00:00;10;0.6342128472807861
2020-09-05 00:00:00;8;0.8094898531246847
2020-09-06 00:00:00;15;0.6670691262199882
2020-09-07 00:00:00;12;0.6819107998486376
2020-09-08 00:00:00;14;0.6258100602237373
2020-09-09 00:00:00;16;0.5149938008155781
2020-09-10 00:00:00;8;0.5458962057442114
2020-09-11 00:00:00;19;0.5467593709312959
2020-09-12 00:00:00;-1;0.6879520495560376
2020-09-13 00:00:00;28;0.7407206171375231
2020-09-14 00:00:00;7;0.7753788904878811
2020-09-15 00:00:00;28;0.7517929866115108
2020-09-16 00:00:00;26;0.7535267766982161
2020-09-17 00:00:00;32;0.7367225078496422
2020-09-18 00:00:00;41;0.6379687759174462
2020-09-19 00:00:00;0;0.623492471248931
2020-09-20 00:00:00;37;0.5106611048762404
2020-09-21 00:00:00;13;0.5057507076326659
2020-09-22 00:00:00;27;0.372871068207846
2020-09-23 00:00:00;22;0.35786823306511373
2020-09-24 00:00:00;23;0.35839247283609266
2020-09-25 00:00:00;45;0.48187990632300637
2020-09-26 00:00:00;12;0.7477079200862328
2020-09-27 00:00:00;18;0.7885660380763129
2020-09-28 00:00:00;14;0.6904203315758075
2020-09-29 00:00:00;16;0.5633628946574543
2020-09-30 00:00:00;32;0.5555399690093042
2020-10-01 00:00:00;26;0.3827415735743718
2020-10-02 00:00:00;34;0.39831527462934235
2020-10-03 00:00:00;20;0.3537214954082778
2020-10-04 00:00:00;15;0.39884159243785977
2020-10-05 00:00:00;18;0.2945109722015984
2020-10-06 00:00:00;34;0.3031539787082319
2020-10-07 00:00:00;35;0.6207454956565552
2020-10-08 00:00:00;39;0.44111265998276805
2020-10-09 00:00:00;29;0.36817458188798013
2020-10-10 00:00:00;30;0.32759365425007014
2020-10-11 00:00:00;29;0.3568830041926718
