Data;Predicted
2020-09-15 00:00:00;20
2020-09-16 00:00:00;11
2020-09-17 00:00:00;36
2020-09-18 00:00:00;40
2020-09-19 00:00:00;37
2020-09-20 00:00:00;57
2020-09-21 00:00:00;26
2020-09-22 00:00:00;5
2020-09-23 00:00:00;25
2020-09-24 00:00:00;21
2020-09-25 00:00:00;43
2020-09-26 00:00:00;-40
2020-09-27 00:00:00;-20
2020-09-28 00:00:00;26
2020-09-29 00:00:00;63
2020-09-30 00:00:00;58
2020-10-01 00:00:00;52
2020-10-02 00:00:00;56
2020-10-03 00:00:00;-24
2020-10-04 00:00:00;-9
2020-10-05 00:00:00;42
2020-10-06 00:00:00;33
2020-10-07 00:00:00;26
2020-10-08 00:00:00;27
2020-10-09 00:00:00;55
2020-10-10 00:00:00;14
2020-10-11 00:00:00;-3
2020-10-12 00:00:00;32
2020-10-13 00:00:00;27
2020-10-14 00:00:00;81
2020-10-15 00:00:00;30
2020-10-16 00:00:00;52
2020-10-17 00:00:00;42
2020-10-18 00:00:00;10
2020-10-19 00:00:00;-21
2020-10-20 00:00:00;37
2020-10-21 00:00:00;34
2020-10-22 00:00:00;17
2020-10-23 00:00:00;41
2020-10-24 00:00:00;26
2020-10-25 00:00:00;32
2020-10-26 00:00:00;45
2020-10-27 00:00:00;38
2020-10-28 00:00:00;58
2020-10-29 00:00:00;54
2020-10-30 00:00:00;82
2020-10-31 00:00:00;89
2020-11-01 00:00:00;78
2020-11-02 00:00:00;187
2020-11-03 00:00:00;58
2020-11-04 00:00:00;168
2020-11-05 00:00:00;167
2020-11-06 00:00:00;147
2020-11-07 00:00:00;111
2020-11-08 00:00:00;75
2020-11-09 00:00:00;124
2020-11-10 00:00:00;138
2020-11-11 00:00:00;154
2020-11-12 00:00:00;105
2020-11-13 00:00:00;220
2020-11-14 00:00:00;-18
2020-11-15 00:00:00;-94
2020-11-16 00:00:00;125
2020-11-17 00:00:00;122
2020-11-18 00:00:00;129
2020-11-19 00:00:00;116
2020-11-20 00:00:00;300
2020-11-21 00:00:00;164
2020-11-22 00:00:00;94
2020-11-23 00:00:00;135
2020-11-24 00:00:00;115
2020-11-25 00:00:00;133
2020-11-26 00:00:00;134
2020-11-27 00:00:00;183
2020-11-28 00:00:00;143
2020-11-29 00:00:00;170
2020-11-30 00:00:00;104
2020-12-01 00:00:00;138
2020-12-02 00:00:00;99
2020-12-03 00:00:00;84
2020-12-04 00:00:00;98
2020-12-05 00:00:00;77
2020-12-06 00:00:00;86
2020-12-07 00:00:00;106
2020-12-08 00:00:00;91
2020-12-09 00:00:00;75
2020-12-10 00:00:00;134
2020-12-11 00:00:00;172
2020-12-12 00:00:00;35
2020-12-13 00:00:00;37
2020-12-14 00:00:00;118
2020-12-15 00:00:00;-63
2020-12-16 00:00:00;186
2020-12-17 00:00:00;94
2020-12-18 00:00:00;142
2020-12-19 00:00:00;86
2020-12-20 00:00:00;37
2020-12-21 00:00:00;30
2020-12-22 00:00:00;94
2020-12-23 00:00:00;111
2020-12-24 00:00:00;110
2020-12-25 00:00:00;94
2020-12-26 00:00:00;188
2020-12-27 00:00:00;100
2020-12-28 00:00:00;85
2020-12-29 00:00:00;85
2020-12-30 00:00:00;118
2020-12-31 00:00:00;125
2021-01-01 00:00:00;121
2021-01-02 00:00:00;190
2021-01-03 00:00:00;146
2021-01-04 00:00:00;282
2021-01-05 00:00:00;170
2021-01-06 00:00:00;263
2021-01-07 00:00:00;-645
2021-01-08 00:00:00;524
2021-01-09 00:00:00;270
2021-01-10 00:00:00;296
2021-01-11 00:00:00;71
2021-01-12 00:00:00;300
2021-01-13 00:00:00;469
2021-01-14 00:00:00;611
2021-01-15 00:00:00;563
2021-01-16 00:00:00;503
2021-01-17 00:00:00;418
2021-01-18 00:00:00;273
2021-01-19 00:00:00;441
2021-01-20 00:00:00;454
2021-01-21 00:00:00;530
2021-01-22 00:00:00;534
2021-01-23 00:00:00;570
2021-01-24 00:00:00;424
2021-01-25 00:00:00;492
2021-01-26 00:00:00;434
2021-01-27 00:00:00;479
2021-01-28 00:00:00;494
2021-01-29 00:00:00;430
2021-01-30 00:00:00;437
2021-01-31 00:00:00;336
2021-02-01 00:00:00;482
2021-02-02 00:00:00;472
2021-02-03 00:00:00;479
2021-02-04 00:00:00;419
2021-02-05 00:00:00;198
2021-02-06 00:00:00;366
2021-02-07 00:00:00;343
2021-02-08 00:00:00;338
2021-02-09 00:00:00;289
2021-02-10 00:00:00;331
2021-02-11 00:00:00;265
2021-02-12 00:00:00;195
2021-02-13 00:00:00;354
2021-02-14 00:00:00;154
2021-02-15 00:00:00;22
2021-02-16 00:00:00;221
2021-02-17 00:00:00;105
2021-02-18 00:00:00;114
2021-02-19 00:00:00;164
2021-02-20 00:00:00;95
2021-02-21 00:00:00;166
2021-02-22 00:00:00;104
2021-02-23 00:00:00;132
2021-02-24 00:00:00;62
2021-02-25 00:00:00;59
2021-02-26 00:00:00;33
2021-02-27 00:00:00;77
2021-02-28 00:00:00;45
2021-03-01 00:00:00;73
2021-03-02 00:00:00;103
2021-03-03 00:00:00;31
2021-03-04 00:00:00;55
2021-03-05 00:00:00;61
2021-03-06 00:00:00;71
2021-03-07 00:00:00;46
2021-03-08 00:00:00;91
2021-03-09 00:00:00;37
2021-03-10 00:00:00;36
2021-03-11 00:00:00;24
2021-03-12 00:00:00;42
2021-03-13 00:00:00;35
2021-03-14 00:00:00;11
2021-03-15 00:00:00;30
2021-03-16 00:00:00;20
2021-03-17 00:00:00;16
2021-03-18 00:00:00;15
2021-03-19 00:00:00;25
2021-03-20 00:00:00;14
2021-03-21 00:00:00;15
2021-03-22 00:00:00;7
2021-03-23 00:00:00;15
2021-03-24 00:00:00;12
2021-03-25 00:00:00;14
2021-03-26 00:00:00;16
2021-03-27 00:00:00;13
2021-03-28 00:00:00;14
2021-03-29 00:00:00;7
2021-03-30 00:00:00;21
2021-03-31 00:00:00;17
2021-04-01 00:00:00;16
2021-04-02 00:00:00;15
2021-04-03 00:00:00;18
2021-04-04 00:00:00;18
2021-04-05 00:00:00;19
2021-04-06 00:00:00;18
