DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;5;11;43;16;-37;9;11
19/08/2020;4;9;43;15;-36;8;5
20/08/2020;1;10;44;13;-38;11;9
21/08/2020;-4;10;44;12;-36;9;5
22/08/2020;-7;-1;44;10;-7;1;2
23/08/2020;-3;-1;44;9;-22;0;4
24/08/2020;-1;6;45;7;-36;9;1
25/08/2020;0;6;45;6;-36;8;40
26/08/2020;-1;5;45;4;-34;7;8
27/08/2020;0;8;46;3;-35;9;3
28/08/2020;-5;10;46;1;-33;8;8
29/08/2020;-8;3;46;-1;-5;1;5
30/08/2020;-4;-1;46;-2;-19;-1;6
31/08/2020;0;8;47;-4;-33;8;4
01/09/2020;-3;10;47;-5;-31;7;20
02/09/2020;-4;4;47;-7;-28;6;7
03/09/2020;-5;4;48;-8;-31;7;2
04/09/2020;-9;6;48;-10;-29;6;16
05/09/2020;-11;1;48;-11;-4;0;12
06/09/2020;-9;0;49;-13;-17;-1;3
07/09/2020;-5;3;49;-14;-30;7;8
08/09/2020;-3;7;49;-16;-29;7;8
09/09/2020;-4;5;49;-17;-26;5;8
10/09/2020;-2;6;50;-19;-29;5;14
11/09/2020;-6;8;50;-20;-28;4;15
12/09/2020;-10;1;53;-1;-4;-2;10
13/09/2020;-8;0;23;-6;5;-2;39
14/09/2020;-3;6;55;-22;-25;5;8
15/09/2020;-5;8;36;-25;-24;6;12
16/09/2020;-3;12;39;-24;-21;5;15
17/09/2020;-5;10;36;-22;-24;5;34
18/09/2020;-15;5;-10;-25;-23;6;47
19/09/2020;-17;1;-1;-24;-5;5;6
20/09/2020;-16;-2;-1;-27;3;4;32
21/09/2020;-4;5;44;-25;-23;4;9
22/09/2020;-9;6;15;-23;-22;5;32
23/09/2020;-10;7;14;-21;-16;5;25
24/09/2020;-10;6;30;-22;-19;5;38
25/09/2020;-13;9;16;-23;-18;5;74
26/09/2020;-17;1;25;-19;-1;4;8
27/09/2020;-16;-3;7;-19;4;5;20
28/09/2020;-10;8;34;-23;-17;6;17
29/09/2020;-8;7;23;-20;-16;5;19
30/09/2020;-6;14;24;-17;-14;2;34
01/10/2020;-6;14;25;-19;-14;3;28
02/10/2020;-12;13;-3;-13;-15;4;33
03/10/2020;-10;10;27;6;-5;1;12
04/10/2020;-4;4;20;-27;-4;2;15
05/10/2020;-11;2;86;-21;-70;17;9
06/10/2020;-9;8;28;-11;-16;2;22
07/10/2020;-8;6;32;-15;-10;3;20
08/10/2020;-5;13;41;-19;-14;4;30
09/10/2020;-11;9;18;-17;-13;3;43
10/10/2020;-16;2;26;-20;0;4;18
11/10/2020;-14;-2;15;-15;5;4;19
12/10/2020;-6;5;38;-18;-13;4;11
13/10/2020;-10;5;14;-20;-11;5;50
14/10/2020;-10;7;17;-19;-7;4;27
15/10/2020;-8;11;27;-17;-10;4;32
16/10/2020;-11;13;11;-14;-9;4;35
17/10/2020;-18;3;14;-22;0;5;38
