Data;Predicted
2020-09-15 00:00:00;42
2020-09-16 00:00:00;39
2020-09-17 00:00:00;47
2020-09-18 00:00:00;29
2020-09-19 00:00:00;29
2020-09-20 00:00:00;45
2020-09-21 00:00:00;47
2020-09-22 00:00:00;34
2020-09-23 00:00:00;47
2020-09-24 00:00:00;53
2020-09-25 00:00:00;42
2020-09-26 00:00:00;46
2020-09-27 00:00:00;80
2020-09-28 00:00:00;18
2020-09-29 00:00:00;51
2020-09-30 00:00:00;82
2020-10-01 00:00:00;134
2020-10-02 00:00:00;85
2020-10-03 00:00:00;48
2020-10-04 00:00:00;0
2020-10-05 00:00:00;71
2020-10-06 00:00:00;80
2020-10-07 00:00:00;80
2020-10-08 00:00:00;87
2020-10-09 00:00:00;128
2020-10-10 00:00:00;54
2020-10-11 00:00:00;40
2020-10-12 00:00:00;66
2020-10-13 00:00:00;78
2020-10-14 00:00:00;177
2020-10-15 00:00:00;130
2020-10-16 00:00:00;151
2020-10-17 00:00:00;87
2020-10-18 00:00:00;91
2020-10-19 00:00:00;-15
2020-10-20 00:00:00;137
2020-10-21 00:00:00;130
2020-10-22 00:00:00;54
2020-10-23 00:00:00;111
2020-10-24 00:00:00;110
2020-10-25 00:00:00;113
2020-10-26 00:00:00;88
2020-10-27 00:00:00;178
2020-10-28 00:00:00;287
2020-10-29 00:00:00;198
2020-10-30 00:00:00;195
2020-10-31 00:00:00;227
2020-11-01 00:00:00;117
2020-11-02 00:00:00;286
2020-11-03 00:00:00;125
2020-11-04 00:00:00;342
2020-11-05 00:00:00;253
2020-11-06 00:00:00;295
2020-11-07 00:00:00;179
2020-11-08 00:00:00;143
2020-11-09 00:00:00;248
2020-11-10 00:00:00;264
2020-11-11 00:00:00;224
2020-11-12 00:00:00;222
2020-11-13 00:00:00;315
2020-11-14 00:00:00;238
2020-11-15 00:00:00;220
2020-11-16 00:00:00;311
2020-11-17 00:00:00;251
2020-11-18 00:00:00;197
2020-11-19 00:00:00;290
2020-11-20 00:00:00;316
2020-11-21 00:00:00;186
2020-11-22 00:00:00;253
2020-11-23 00:00:00;303
2020-11-24 00:00:00;243
2020-11-25 00:00:00;278
2020-11-26 00:00:00;276
2020-11-27 00:00:00;248
2020-11-28 00:00:00;418
2020-11-29 00:00:00;264
2020-11-30 00:00:00;262
2020-12-01 00:00:00;272
2020-12-02 00:00:00;260
2020-12-03 00:00:00;217
