DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;2;-1;82;-37;-43;12;23
19/08/2020;1;-1;86;-39;-43;11;20
20/08/2020;-2;-1;89;-45;-44;13;34
21/08/2020;-6;-2;93;-35;-43;11;21
22/08/2020;-13;-11;96;-8;-8;2;10
23/08/2020;-13;-12;100;-8;-1;0;11
24/08/2020;1;-2;101;-40;-42;11;21
25/08/2020;3;-1;101;-38;-42;11;29
26/08/2020;2;-2;102;-39;-41;10;44
27/08/2020;2;1;103;-39;-41;11;22
28/08/2020;-4;0;103;-35;-41;11;20
29/08/2020;-14;-9;104;-17;-8;3;33
30/08/2020;-10;-11;74;-10;1;0;40
31/08/2020;4;3;79;-37;-39;10;13
01/09/2020;3;5;85;-33;-36;10;21
02/09/2020;2;-1;90;-35;-36;9;30
03/09/2020;1;2;95;-35;-36;9;22
04/09/2020;-4;-3;100;-29;-36;8;50
05/09/2020;-10;-8;106;-12;-8;2;11
06/09/2020;-8;-8;111;-1;0;-1;11
07/09/2020;1;0;113;-35;-36;9;26
08/09/2020;2;3;115;-31;-35;9;44
09/09/2020;-1;-1;116;-34;-35;9;33
10/09/2020;0;2;118;-34;-35;9;55
11/09/2020;-5;-1;120;-27;-35;9;43
12/09/2020;-12;-7;142;-12;-6;3;41
13/09/2020;-12;-10;45;-14;0;1;84
14/09/2020;-2;0;80;-34;-31;10;21
15/09/2020;-4;-2;70;-34;-36;12;44
16/09/2020;-1;1;59;-32;-31;9;64
17/09/2020;-6;3;54;-34;-33;10;85
18/09/2020;-17;-6;4;-32;-32;11;77
19/09/2020;-18;-7;32;-24;-6;7;52
20/09/2020;-17;-12;0;-22;-1;5;61
21/09/2020;-6;-1;53;-32;-29;9;30
22/09/2020;-8;0;33;-29;-29;9;83
23/09/2020;-13;-3;19;-32;-28;10;44
24/09/2020;-12;0;44;-32;-28;9;71
25/09/2020;-14;-1;30;-26;-27;9;82
26/09/2020;-19;-8;44;-21;-3;6;46
27/09/2020;-19;-14;7;-20;-1;5;33
28/09/2020;-11;2;32;-33;-24;10;60
29/09/2020;-7;2;46;-28;-24;9;43
30/09/2020;-6;5;29;-26;-24;7;67
