DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;42;17;235;107;-29;8;0
19/08/2020;40;16;229;103;-29;7;0
20/08/2020;38;16;224;99;-31;8;1
21/08/2020;37;15;218;95;-27;8;2
22/08/2020;35;14;212;91;-27;1;4
23/08/2020;33;14;206;87;-28;4;2
24/08/2020;31;13;201;83;-28;7;1
25/08/2020;29;12;195;80;-29;6;0
26/08/2020;28;12;189;76;-29;7;3
27/08/2020;26;11;184;72;-28;6;1
28/08/2020;24;10;178;68;-27;7;7
29/08/2020;22;10;172;64;-27;1;2
30/08/2020;21;9;167;60;-28;4;1
31/08/2020;19;8;161;56;-28;6;0
01/09/2020;17;8;155;52;-27;6;3
02/09/2020;15;7;149;48;-26;6;5
03/09/2020;13;6;144;44;-27;5;4
04/09/2020;12;6;138;40;-24;6;2
05/09/2020;10;5;132;36;-24;0;2
06/09/2020;8;4;127;33;-25;3;0
07/09/2020;6;4;121;29;-25;5;1
08/09/2020;4;3;115;25;-27;6;2
09/09/2020;3;2;110;21;-25;4;2
10/09/2020;1;2;104;17;-26;3;9
11/09/2020;-1;1;98;13;-24;2;7
12/09/2020;-2;-1;147;54;0;-4;5
13/09/2020;-1;-12;130;36;10;-1;6
14/09/2020;6;1;97;2;-22;2;6
15/09/2020;6;5;96;4;-22;4;21
16/09/2020;1;11;95;6;-22;4;10
17/09/2020;0;1;69;4;-22;3;1
18/09/2020;-10;-5;47;5;-20;4;11
19/09/2020;-14;-1;41;12;-1;4;4
20/09/2020;-14;-12;51;15;7;4;3
21/09/2020;0;1;65;9;-19;3;1
22/09/2020;-3;4;71;5;-19;4;3
23/09/2020;-7;5;47;-1;-16;4;6
24/09/2020;-6;2;47;4;-17;4;11
25/09/2020;-11;-1;37;4;-16;4;3
26/09/2020;-14;-2;53;22;1;4;5
27/09/2020;-10;-11;74;22;8;3;2
28/09/2020;-3;7;56;6;-14;4;4
29/09/2020;-1;10;79;7;-14;4;6
30/09/2020;-5;7;59;2;-14;2;6
01/10/2020;-4;7;36;2;-11;2;6
02/10/2020;-13;1;15;4;-11;4;16
03/10/2020;-5;10;75;49;-2;2;16
04/10/2020;6;-2;110;55;-2;3;31
05/10/2020;-6;-5;68;13;-65;16;2
06/10/2020;0;14;65;15;-15;3;14
07/10/2020;-3;8;67;12;-11;2;13
08/10/2020;-1;5;65;12;-11;3;35
09/10/2020;-12;0;38;12;-9;4;21
10/10/2020;-12;3;67;32;2;5;33
11/10/2020;-12;-10;72;36;1;4;11
12/10/2020;1;14;69;12;-11;4;21
13/10/2020;-4;10;54;12;-10;5;34
14/10/2020;-9;9;47;13;-9;4;28
15/10/2020;-7;9;39;21;-7;3;30
16/10/2020;-14;13;28;23;-6;5;37
17/10/2020;-21;4;28;23;1;6;23
18/10/2020;-21;-9;33;23;-1;6;14
19/10/2020;-14;8;12;10;-9;6;17
20/10/2020;-15;7;6;2;-11;8;46
21/10/2020;-12;10;17;7;-7;6;48
22/10/2020;-10;7;30;7;-7;5;23
23/10/2020;-18;7;9;10;-6;6;34
24/10/2020;-27;2;3;-5;-4;8;47
25/10/2020;-36;-17;-27;-26;-5;9;32
26/10/2020;-12;7;18;1;-8;6;42
27/10/2020;-11;13;32;8;-8;6;63
28/10/2020;-11;11;24;6;-7;5;75
29/10/2020;-11;9;25;16;-10;5;73
30/10/2020;-26;-4;5;-8;-10;8;62
31/10/2020;-42;-14;-17;-26;-7;10;50
01/11/2020;-51;-33;-31;-38;-11;12;29
02/11/2020;-24;-7;-2;-13;-12;9;14
03/11/2020;-15;5;14;-1;-11;7;145
04/11/2020;-21;0;6;-10;-12;8;86
05/11/2020;-18;0;-8;-8;-12;8;83
06/11/2020;-29;-6;-20;-15;-15;10;76
07/11/2020;-35;-3;-18;-19;-10;10;77
08/11/2020;-41;-23;-37;-32;-11;10;38
09/11/2020;-20;1;-2;-13;-12;9;54
10/11/2020;-18;7;13;-1;-12;8;91
11/11/2020;-21;3;8;-8;-14;8;100
12/11/2020;-20;1;2;-5;-12;8;67
13/11/2020;-25;9;-5;-6;-12;9;119
14/11/2020;-64;-38;-49;-42;-27;17;65
15/11/2020;-70;-53;-64;-49;-31;18;43
16/11/2020;-19;3;5;-1;-13;8;97
17/11/2020;-18;3;20;-4;-14;9;107
18/11/2020;-21;0;17;-3;-12;8;158
19/11/2020;-19;2;13;-6;-12;7;131
20/11/2020;-24;9;-3;-3;-11;8;121
21/11/2020;-61;-36;-41;-43;-28;15;105
22/11/2020;-64;-46;-44;-42;-30;16;84
23/11/2020;-17;8;1;-6;-13;7;47
24/11/2020;-16;8;10;-5;-14;8;132
25/11/2020;-23;0;-19;-14;-13;10;167
26/11/2020;-16;5;-4;-5;-12;8;111
27/11/2020;-20;10;-6;1;-11;7;128
28/11/2020;-60;-34;-39;-37;-23;15;149
29/11/2020;-63;-42;-46;-51;-27;16;51
30/11/2020;-38;-16;-8;-34;-48;19;89
01/12/2020;-56;-41;-26;-50;-71;28;126
02/12/2020;-14;18;10;-6;-11;6;105
03/12/2020;-15;14;-4;-8;-12;7;156
04/12/2020;-24;9;-14;-10;-14;10;167
05/12/2020;-58;-31;-35;-34;-22;15;200
06/12/2020;-63;-45;-50;-47;-27;16;85
07/12/2020;-36;-17;-27;-42;-50;21;129
08/12/2020;-56;-34;-34;-52;-73;30;176
09/12/2020;-13;21;-1;4;-11;5;83
10/12/2020;-14;11;-9;2;-11;8;175
11/12/2020;-22;9;-24;2;-11;9;125
12/12/2020;-53;-26;-30;-17;-17;13;112
13/12/2020;-55;-36;-46;-28;-21;13;38
14/12/2020;-12;14;-6;5;-10;7;97
15/12/2020;-12;14;6;5;-11;7;129
16/12/2020;-15;13;7;0;-10;8;150
17/12/2020;-10;15;-1;7;-11;7;250
18/12/2020;-16;21;-9;8;-11;8;114
19/12/2020;-48;-19;-29;-3;-17;13;86
20/12/2020;-49;-29;-37;-14;-18;13;91
21/12/2020;9;44;21;10;-29;9;52
22/12/2020;10;47;54;15;-31;9;140
23/12/2020;8;57;38;16;-33;9;150
24/12/2020;-14;21;26;3;-56;12;111
25/12/2020;-69;-83;-10;-36;-80;27;39
26/12/2020;-43;-28;25;17;-26;13;26
27/12/2020;-54;-39;-34;-25;-22;13;32
28/12/2020;5;32;37;4;-36;13;60
29/12/2020;6;31;63;10;-36;13;159
30/12/2020;3;46;54;6;-35;11;212
31/12/2020;-15;38;18;-4;-44;14;171
01/01/2021;-80;-88;-45;-57;-82;35;67
02/01/2021;-55;-30;-17;-14;-26;16;71
03/01/2021;-59;-43;-34;-19;-20;13;57
04/01/2021;-7;23;6;7;-9;6;106
05/01/2021;-12;14;18;11;-10;7;237
06/01/2021;-16;11;2;12;-9;7;294
07/01/2021;-14;8;5;9;-10;7;216
08/01/2021;-21;13;-11;7;-10;8;228
09/01/2021;-61;-37;-43;-30;-21;15;132
10/01/2021;-64;-46;-43;-30;-23;15;48
11/01/2021;-12;18;3;8;-9;6;106
12/01/2021;-15;13;12;4;-12;6;242
13/01/2021;-14;10;8;3;-13;5;183
14/01/2021;-19;6;-7;-5;-16;6;145
15/01/2021;-61;-18;-35;-21;-26;14;265
16/01/2021;-75;-39;-51;-45;-41;17;194
17/01/2021;-77;-50;-48;-49;-35;16;54
18/01/2021;-55;-15;-22;-19;-26;12;86
19/01/2021;-57;-15;-22;-21;-28;13;174
20/01/2021;-62;-23;-43;-29;-28;15;179
21/01/2021;-59;-16;-40;-28;-29;14;181
22/01/2021;-66;-21;-48;-40;-45;22;178
23/01/2021;-80;-47;-70;-54;-44;21;182
24/01/2021;-77;-51;-59;-51;-38;16;183
25/01/2021;-62;-24;-39;-39;-47;20;181
26/01/2021;-61;-23;-32;-38;-48;21;182
27/01/2021;-64;-25;-33;-41;-47;19;155
28/01/2021;-62;-22;-28;-32;-47;18;157
29/01/2021;-67;-18;-40;-36;-45;21;156
30/01/2021;-78;-40;-63;-55;-40;19;156
31/01/2021;-83;-51;-65;-63;-41;17;157
01/02/2021;-61;-16;-28;-36;-45;18;156
02/02/2021;-62;-15;-33;-39;-46;20;157
03/02/2021;-63;-25;-33;-40;-46;19;94
04/02/2021;-63;-20;-35;-33;-47;18;93
05/02/2021;-67;-19;-50;-42;-45;20;94
06/02/2021;-78;-39;-57;-56;-40;17;90
07/02/2021;-82;-52;-67;-58;-40;17;94
08/02/2021;-63;-22;-42;-38;-46;19;94
09/02/2021;-62;-16;-38;-38;-48;21;92
10/02/2021;-61;-16;-21;-32;-45;17;52
11/02/2021;-62;-15;-34;-35;-45;18;39
12/02/2021;-64;-10;-28;-36;-43;19;36
13/02/2021;-75;-30;-39;-41;-36;14;37
14/02/2021;-75;-39;-28;-47;-36;13;35
15/02/2021;-59;-8;-9;-29;-45;15;37
16/02/2021;-66;-15;-29;-41;-55;21;31
17/02/2021;-61;-12;-28;-32;-43;17;22
18/02/2021;-61;-12;-28;-32;-43;18;22
19/02/2021;-63;-8;-31;-29;-41;19;20
20/02/2021;-76;-32;-60;-54;-37;17;17
21/02/2021;-79;-44;-45;-50;-33;14;17
22/02/2021;-58;-8;-7;-29;-41;15;17
23/02/2021;-59;-6;-2;-25;-43;15;15
24/02/2021;-59;-10;-6;-30;-41;15;13
25/02/2021;-59;-5;-34;-30;-42;17;14
26/02/2021;-61;-4;-18;-25;-40;16;19
27/02/2021;-70;-27;-19;-30;-35;11;13
28/02/2021;-74;-34;-7;-33;-31;9;11
01/03/2021;-55;-3;-16;-24;-41;14;12
02/03/2021;-57;-3;-2;-25;-42;15;8
03/03/2021;-56;-5;4;-23;-41;14;9
04/03/2021;-57;-5;-8;-27;-41;15;10
05/03/2021;-58;-2;-13;-17;-39;16;7
06/03/2021;-69;-22;-18;-25;-32;10;2
07/03/2021;-74;-33;-17;-32;-27;9;7
08/03/2021;-52;1;-11;-21;-39;13;8
09/03/2021;-53;1;5;-17;-41;14;3
10/03/2021;-55;-4;0;-21;-40;14;8
11/03/2021;-55;0;-17;-18;-41;15;6
12/03/2021;-58;1;-12;-18;-38;15;4
13/03/2021;-69;-20;-28;-25;-31;11;3
14/03/2021;-73;-30;-17;-30;-29;10;3
15/03/2021;-42;6;12;-6;-31;9;4
16/03/2021;-41;11;25;-3;-33;11;2
17/03/2021;-44;8;16;-4;-32;10;6
18/03/2021;-42;13;19;-2;-32;10;6
19/03/2021;-44;19;0;2;-29;11;5
20/03/2021;-63;-12;-1;-16;-22;9;5
21/03/2021;-68;-25;4;-23;-24;9;5
22/03/2021;-40;12;15;-2;-31;10;4
23/03/2021;-38;14;32;2;-31;10;5
24/03/2021;-43;12;20;-7;-31;10;3
25/03/2021;-41;14;23;2;-31;9;4
26/03/2021;-48;12;-2;3;-29;12;7
27/03/2021;-62;-6;-8;-13;-20;9;4
28/03/2021;-68;-27;-5;-10;-22;8;4
29/03/2021;-41;9;15;-2;-31;10;4
30/03/2021;-41;14;31;-5;-34;10;5
31/03/2021;-41;17;27;3;-32;9;3
01/04/2021;-37;32;11;0;-33;9;7
02/04/2021;-68;-9;-29;-34;-70;28;3
03/04/2021;-59;7;1;-8;-20;9;7
04/04/2021;-70;-57;-5;-14;-20;7;2
05/04/2021;-23;23;37;7;-24;6;5
06/04/2021;-21;26;54;12;-23;5;4
