Data;Predicted
2020-09-15 00:00:00;10
2020-09-16 00:00:00;6
2020-09-17 00:00:00;9
2020-09-18 00:00:00;1
2020-09-19 00:00:00;4
2020-09-20 00:00:00;7
2020-09-21 00:00:00;0
2020-09-22 00:00:00;-1
2020-09-23 00:00:00;0
2020-09-24 00:00:00;-8
2020-09-25 00:00:00;-6
2020-09-26 00:00:00;61
2020-09-27 00:00:00;-6
2020-09-28 00:00:00;-114
2020-09-29 00:00:00;-9
2020-09-30 00:00:00;2
2020-10-01 00:00:00;-28
2020-10-02 00:00:00;-59
2020-10-03 00:00:00;-102
2020-10-04 00:00:00;-52
2020-10-05 00:00:00;-38
2020-10-06 00:00:00;-18
2020-10-07 00:00:00;-55
2020-10-08 00:00:00;-63
2020-10-09 00:00:00;-56
2020-10-10 00:00:00;-71
2020-10-11 00:00:00;-41
2020-10-12 00:00:00;-48
2020-10-13 00:00:00;26
2020-10-14 00:00:00;26
2020-10-15 00:00:00;40
2020-10-16 00:00:00;30
2020-10-17 00:00:00;43
2020-10-18 00:00:00;26
2020-10-19 00:00:00;-3
2020-10-20 00:00:00;24
2020-10-21 00:00:00;12
2020-10-22 00:00:00;26
2020-10-23 00:00:00;12
2020-10-24 00:00:00;21
2020-10-25 00:00:00;8
2020-10-26 00:00:00;21
2020-10-27 00:00:00;62
2020-10-28 00:00:00;62
2020-10-29 00:00:00;72
2020-10-30 00:00:00;64
2020-10-31 00:00:00;67
2020-11-01 00:00:00;53
2020-11-02 00:00:00;80
2020-11-03 00:00:00;78
2020-11-04 00:00:00;74
2020-11-05 00:00:00;78
2020-11-06 00:00:00;71
2020-11-07 00:00:00;67
2020-11-08 00:00:00;60
2020-11-09 00:00:00;89
2020-11-10 00:00:00;104
2020-11-11 00:00:00;91
2020-11-12 00:00:00;87
2020-11-13 00:00:00;75
2020-11-14 00:00:00;58
2020-11-15 00:00:00;66
2020-11-16 00:00:00;101
2020-11-17 00:00:00;106
2020-11-18 00:00:00;96
2020-11-19 00:00:00;97
2020-11-20 00:00:00;92
2020-11-21 00:00:00;88
2020-11-22 00:00:00;77
2020-11-23 00:00:00;112
2020-11-24 00:00:00;177
2020-11-25 00:00:00;131
2020-11-26 00:00:00;150
2020-11-27 00:00:00;170
2020-11-28 00:00:00;65
2020-11-29 00:00:00;-36
2020-11-30 00:00:00;114
2020-12-01 00:00:00;109
2020-12-02 00:00:00;97
2020-12-03 00:00:00;100
2020-12-04 00:00:00;165
2020-12-05 00:00:00;-85
2020-12-06 00:00:00;-108
2020-12-07 00:00:00;174
2020-12-08 00:00:00;67
2020-12-09 00:00:00;71
2020-12-10 00:00:00;72
2020-12-11 00:00:00;-1
2020-12-12 00:00:00;25
2020-12-13 00:00:00;-72
2020-12-14 00:00:00;-408
2020-12-15 00:00:00;-507
2020-12-16 00:00:00;6
2020-12-17 00:00:00;-6
2020-12-18 00:00:00;-18
2020-12-19 00:00:00;-15
2020-12-20 00:00:00;-85
2020-12-21 00:00:00;-512
2020-12-22 00:00:00;86
2020-12-23 00:00:00;146
2020-12-24 00:00:00;119
2020-12-25 00:00:00;128
2020-12-26 00:00:00;159
2020-12-27 00:00:00;69
2020-12-28 00:00:00;96
2020-12-29 00:00:00;139
2020-12-30 00:00:00;166
2020-12-31 00:00:00;180
2021-01-01 00:00:00;191
2021-01-02 00:00:00;157
2021-01-03 00:00:00;136
2021-01-04 00:00:00;170
2021-01-05 00:00:00;357
2021-01-06 00:00:00;416
2021-01-07 00:00:00;704
2021-01-08 00:00:00;700
2021-01-09 00:00:00;317
2021-01-10 00:00:00;248
2021-01-11 00:00:00;119
2021-01-12 00:00:00;308
2021-01-13 00:00:00;312
2021-01-14 00:00:00;300
2021-01-15 00:00:00;130
2021-01-16 00:00:00;105
2021-01-17 00:00:00;151
2021-01-18 00:00:00;-17
2021-01-19 00:00:00;293
2021-01-20 00:00:00;440
2021-01-21 00:00:00;447
2021-01-22 00:00:00;587
2021-01-23 00:00:00;450
2021-01-24 00:00:00;442
2021-01-25 00:00:00;501
2021-01-26 00:00:00;397
2021-01-27 00:00:00;343
2021-01-28 00:00:00;366
2021-01-29 00:00:00;478
2021-01-30 00:00:00;308
2021-01-31 00:00:00;281
2021-02-01 00:00:00;280
2021-02-02 00:00:00;494
2021-02-03 00:00:00;528
2021-02-04 00:00:00;518
2021-02-05 00:00:00;729
2021-02-06 00:00:00;600
2021-02-07 00:00:00;528
2021-02-08 00:00:00;723
2021-02-09 00:00:00;708
2021-02-10 00:00:00;704
2021-02-11 00:00:00;707
2021-02-12 00:00:00;751
2021-02-13 00:00:00;580
2021-02-14 00:00:00;555
2021-02-15 00:00:00;694
2021-02-16 00:00:00;299
2021-02-17 00:00:00;105
2021-02-18 00:00:00;130
2021-02-19 00:00:00;101
2021-02-20 00:00:00;122
2021-02-21 00:00:00;-99
2021-02-22 00:00:00;308
2021-02-23 00:00:00;223
2021-02-24 00:00:00;11
2021-02-25 00:00:00;148
2021-02-26 00:00:00;-17
2021-02-27 00:00:00;-142
2021-02-28 00:00:00;-85
2021-03-01 00:00:00;-168
2021-03-02 00:00:00;185
2021-03-03 00:00:00;40
2021-03-04 00:00:00;27
2021-03-05 00:00:00;43
2021-03-06 00:00:00;15
2021-03-07 00:00:00;52
2021-03-08 00:00:00;16
2021-03-09 00:00:00;91
2021-03-10 00:00:00;47
2021-03-11 00:00:00;-7
2021-03-12 00:00:00;-1
2021-03-13 00:00:00;35
2021-03-14 00:00:00;38
2021-03-15 00:00:00;-3
2021-03-16 00:00:00;18
2021-03-17 00:00:00;12
2021-03-18 00:00:00;16
2021-03-19 00:00:00;17
2021-03-20 00:00:00;14
2021-03-21 00:00:00;18
2021-03-22 00:00:00;11
2021-03-23 00:00:00;15
2021-03-24 00:00:00;12
2021-03-25 00:00:00;13
2021-03-26 00:00:00;17
2021-03-27 00:00:00;14
2021-03-28 00:00:00;17
2021-03-29 00:00:00;7
2021-03-30 00:00:00;8
2021-03-31 00:00:00;8
2021-04-01 00:00:00;5
2021-04-02 00:00:00;2
2021-04-03 00:00:00;4
2021-04-04 00:00:00;14
2021-04-05 00:00:00;8
2021-04-06 00:00:00;9
2021-04-07 00:00:00;6
2021-04-08 00:00:00;1
2021-04-09 00:00:00;7
2021-04-10 00:00:00;9
2021-04-11 00:00:00;12
2021-04-12 00:00:00;11
