DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;25;12;107;24;-33;9;2
19/08/2020;22;12;106;23;-33;7;2
20/08/2020;19;11;104;22;-36;12;2
21/08/2020;16;11;103;22;-33;9;1
22/08/2020;11;10;102;21;2;0;2
23/08/2020;10;10;100;20;-15;-1;3
24/08/2020;9;9;99;19;-32;8;1
25/08/2020;8;9;98;18;-34;8;5
26/08/2020;7;8;96;17;-31;6;5
27/08/2020;6;8;95;17;-31;7;4
28/08/2020;5;7;94;16;-31;8;10
29/08/2020;2;7;92;15;0;1;20
30/08/2020;2;6;91;14;-15;-1;3
31/08/2020;1;6;90;13;-30;8;2
01/09/2020;1;5;88;12;-27;6;7
02/09/2020;1;5;87;12;-27;6;11
03/09/2020;0;4;86;11;-27;6;10
04/09/2020;0;4;84;10;-26;7;12
05/09/2020;-3;3;83;9;-2;0;18
06/09/2020;-3;3;82;8;-15;-1;16
07/09/2020;-2;2;80;7;-27;7;8
08/09/2020;-2;2;79;7;-31;7;23
09/09/2020;-2;1;78;6;-25;4;17
10/09/2020;-1;1;76;5;-25;4;17
11/09/2020;-1;0;75;4;-25;4;20
12/09/2020;-7;-6;87;15;2;-2;5
13/09/2020;-7;-11;64;9;12;-2;17
14/09/2020;1;3;54;10;-22;5;11
15/09/2020;-1;5;55;14;-21;4;9
16/09/2020;0;6;62;4;-24;5;30
17/09/2020;-2;6;35;8;-21;5;34
18/09/2020;-11;-3;21;-7;-21;6;29
19/09/2020;-19;-5;-1;-6;-1;6;13
20/09/2020;-14;-11;22;-3;10;5;4
21/09/2020;-9;0;40;-17;-37;9;1
22/09/2020;-2;6;49;7;-19;3;18
23/09/2020;-8;4;29;7;-17;4;14
24/09/2020;-9;4;26;10;-17;4;7
25/09/2020;-11;-2;27;-3;-15;5;23
26/09/2020;-17;-6;28;1;4;4;8
27/09/2020;-13;-9;35;-5;10;4;1
28/09/2020;-6;6;29;10;-13;5;3
29/09/2020;-5;6;38;10;-14;3;14
30/09/2020;-5;6;39;6;-13;1;10
01/10/2020;-7;8;18;5;-9;2;6
02/10/2020;-11;2;5;-1;-11;4;14
03/10/2020;-7;6;43;3;-1;2;19
04/10/2020;-2;-1;43;-12;2;3;8
05/10/2020;-17;0;34;-10;-69;18;5
06/10/2020;-4;9;34;35;-12;1;5
07/10/2020;-6;1;49;18;-10;2;32
08/10/2020;-4;5;43;14;-8;3;10
09/10/2020;-9;-3;39;6;-7;3;47
10/10/2020;-15;-7;52;-4;2;4;21
11/10/2020;-15;-12;38;3;7;4;32
12/10/2020;-6;2;40;16;-7;4;58
13/10/2020;-9;3;36;20;-6;3;44
14/10/2020;-8;-1;37;25;-5;3;37
15/10/2020;-7;6;23;14;-3;3;94
16/10/2020;-11;2;22;4;-4;4;46
17/10/2020;-19;-6;22;17;3;5;37
18/10/2020;-20;-13;23;-1;6;5;55
19/10/2020;-15;1;5;17;-5;6;43
20/10/2020;-19;-4;-9;11;-6;7;55
21/10/2020;-13;-1;6;12;-4;5;56
22/10/2020;-11;1;11;14;-3;5;70
23/10/2020;-13;2;14;4;-3;5;51
24/10/2020;-22;-5;1;-7;-1;7;52
25/10/2020;-31;-18;-26;-13;-3;9;46
26/10/2020;-9;3;16;23;-3;6;71
27/10/2020;-13;3;7;21;-4;5;89
28/10/2020;-11;0;17;13;-3;4;93
29/10/2020;-9;5;20;10;-3;3;106
30/10/2020;-21;-4;12;-5;-4;7;81
31/10/2020;-34;-17;-3;-15;-5;9;69
01/11/2020;-43;-30;-29;-28;-8;12;41
02/11/2020;-19;-6;-2;3;-5;8;62
03/11/2020;-12;2;12;22;-5;5;152
04/11/2020;-16;-3;6;7;-5;6;74
05/11/2020;-16;1;1;3;-5;6;101
06/11/2020;-22;-5;-12;-11;-5;8;97
07/11/2020;-25;-6;-11;-8;-6;8;74
08/11/2020;-35;-20;-31;-23;-6;10;73
09/11/2020;-15;-1;-1;6;-5;8;117
10/11/2020;-16;1;10;21;-4;6;132
11/11/2020;-16;-4;15;17;-5;5;138
12/11/2020;-17;-1;6;8;-4;6;100
13/11/2020;-19;3;6;5;-5;7;161
14/11/2020;-39;-22;-26;-22;-10;11;149
15/11/2020;-46;-35;-36;-32;-14;13;33
16/11/2020;-15;-1;8;19;-6;7;60
17/11/2020;-15;-3;16;19;-6;6;205
18/11/2020;-17;-6;13;12;-6;6;135
19/11/2020;-15;0;10;4;-6;6;138
20/11/2020;-19;7;5;-5;-6;7;154
21/11/2020;-52;-36;-23;-34;-21;14;83
22/11/2020;-54;-43;-28;-33;-21;14;127
23/11/2020;-13;7;11;15;-4;6;81
24/11/2020;-15;2;12;20;-5;6;86
25/11/2020;-18;-2;-6;0;-5;8;160
26/11/2020;-16;4;-3;0;-5;7;95
27/11/2020;-13;6;9;24;-6;6;104
28/11/2020;-40;-26;-18;-7;-13;12;78
29/11/2020;-44;-36;-25;0;-17;14;97
30/11/2020;-21;-5;2;6;-45;18;48
01/12/2020;-42;-27;8;-17;-72;27;73
02/12/2020;-10;12;18;31;-6;4;161
03/12/2020;-12;9;1;16;-5;6;156
04/12/2020;-19;3;-14;0;-6;9;121
05/12/2020;-37;-20;-22;-7;-12;12;124
06/12/2020;-46;-35;-44;-29;-22;15;50
07/12/2020;-20;-1;-15;-2;-46;20;69
08/12/2020;-41;-21;-17;-20;-73;30;208
09/12/2020;-9;13;11;36;-5;4;104
10/12/2020;-12;7;-7;13;-5;7;202
