DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-32;-28;-12;-40;-49;13;9
19/08/2020;-35;-28;-9.917;-38;-50;12;17
20/08/2020;-33;-29;-7.834;-44;-50;15;8
21/08/2020;-38;-29;-5.751;-41;-49;13;10
22/08/2020;-52;-41;-3.668;-32;-18;1;4
23/08/2020;-51;-43;-1.585;-34;-9;-2;4
24/08/2020;-34;-26;0.498;-44;-49;12;11
25/08/2020;-33;-25;2.581;-39;-49;11;20
26/08/2020;-34;-27;4.664;-39;-48;11;9
27/08/2020;-35;-28;6.747;-38;-48;12;12
28/08/2020;-37;-28;8.83;-39;-47;12;19
29/08/2020;-46;-38;10.913;-29;-17;1;7
30/08/2020;-45;-40;12.996;-31;-12;-2;6
31/08/2020;-24;-18;15.079;-34;-46;11;12
01/09/2020;-23;-16;17.162;-29;-43;10;13
02/09/2020;-27;-21;19.245;-30;-42;10;13
03/09/2020;-27;-22;21.328;-32;-42;10;14
04/09/2020;-35;-28;23.411;-32;-42;9;32
05/09/2020;-45;-36;25.494;-26;-18;1;8
06/09/2020;-44;-38;27.577;-28;-14;-2;6
07/09/2020;-29;-20;29.66;-33;-43;10;30
08/09/2020;-25;-17;31.743;-31;-43;10;46
09/09/2020;-29;-18;33.826;-31;-42;10;19
10/09/2020;-27;-20;35.909;-29;-41;10;37
11/09/2020;-38;-32;38;-37;-45;12;18
12/09/2020;-43;-34;39;-29;-17;2;25
13/09/2020;-42;-37;11;-29;-17;0;23
14/09/2020;-26;-17;45;-32;-38;12;21
15/09/2020;-26;-18;39;-30;-38;12;20
16/09/2020;-22;-13;47;-27;-38;11;31
17/09/2020;-24;-21;43;-30;-38;12;37
18/09/2020;-37;-30;-1;-35;-38;12;36
19/09/2020;-38;-32;25;-29;-17;7;4
20/09/2020;-36;-36;17;-29;-15;5;29
21/09/2020;-27;-18;41;-30;-37;11;11
22/09/2020;-27;-19;18;-32;-37;11;35
23/09/2020;-32;-19;10;-29;-35;11;26
24/09/2020;-31;-21;18;-30;-34;11;32
25/09/2020;-36;-22;9;-32;-34;11;21
26/09/2020;-40;-33;10;-29;-16;6;14
27/09/2020;-41;-37;-6;-31;-16;5;10
28/09/2020;-30;-17;15;-33;-33;11;24
29/09/2020;-27;-16;22;-29;-33;10;22
30/09/2020;-26;-12;22;-24;-33;9;11
01/10/2020;-25;-13;13;-22;-30;10;22
02/10/2020;-31;-21;-3;-28;-31;11;16
03/10/2020;-36;-30;6;-25;-15;3;16
04/10/2020;-37;-38;-14;-29;-16;5;25
05/10/2020;-25;-20;6;-49;-75;20;4
06/10/2020;-26;-16;18;-27;-33;9;22
07/10/2020;-30;-15;14;-25;-31;10;27
08/10/2020;-28;-16;23;-24;-31;10;25
09/10/2020;-34;-21;16;-27;-30;11;26
10/10/2020;-41;-31;14;-23;-12;5;9
11/10/2020;-41;-38;0;-26;-14;5;33
12/10/2020;-32;-19;13;-28;-30;11;13
13/10/2020;-30;-21;12;-25;-29;11;43
14/10/2020;-34;-19;3;-25;-29;11;41
15/10/2020;-32;-17;13;-23;-28;11;39
16/10/2020;-36;-22;16;-27;-27;11;54
17/10/2020;-41;-30;22;-25;-14;7;13
18/10/2020;-44;-38;-11;-30;-18;6;56
19/10/2020;-42;-29;-25;-35;-30;14;14
20/10/2020;-37;-26;-33;-39;-30;15;39
21/10/2020;-32;-15;0;-29;-27;13;44
22/10/2020;-31;-16;4;-27;-26;13;39
23/10/2020;-35;-20;10;-29;-29;13;48
24/10/2020;-43;-29;3;-28;-13;8;18
25/10/2020;-47;-40;-32;-39;-18;8;33
26/10/2020;-33;-17;5;-32;-28;13;40
27/10/2020;-30;-18;-4;-31;-28;12;40
28/10/2020;-30;-16;2;-28;-26;12;60
29/10/2020;-27;-15;15;-25;-26;11;58
30/10/2020;-39;-21;8;-33;-29;15;47
31/10/2020;-49;-32;7;-39;-16;13;43
01/11/2020;-53;-42;-19;-39;-20;13;34
02/11/2020;-38;-21;-6;-36;-31;16;17
03/11/2020;-28;-15;-1;-30;-29;13;102
04/11/2020;-32;-16;-9;-29;-30;14;40
05/11/2020;-32;-19;-13;-31;-30;15;85
06/11/2020;-37;-25;-27;-34;-31;17;76
07/11/2020;-39;-30;-15;-31;-15;10;16
08/11/2020;-44;-40;-33;-34;-19;9;76
09/11/2020;-31;-16;-7;-32;-31;15;28
10/11/2020;-28;-15;1;-31;-31;14;70
11/11/2020;-33;-16;-4;-28;-30;14;73
12/11/2020;-30;-18;5;-30;-34;16;104
13/11/2020;-34;-12;-4;-33;-34;17;75
14/11/2020;-73;-59;-41;-60;-33;21;53
15/11/2020;-71;-62;-33;-58;-37;17;79
16/11/2020;-30;-14;0;-32;-30;14;34
17/11/2020;-28;-17;-4;-31;-30;14;60
18/11/2020;-32;-18;1;-29;-29;14;75
19/11/2020;-28;-15;8;-30;-29;15;113
20/11/2020;-31;-13;7;-32;-29;14;72
21/11/2020;-67;-54;-16;-54;-30;18;40
22/11/2020;-65;-57;-17;-51;-34;15;73
23/11/2020;-28;-11;-2;-34;-30;14;36
24/11/2020;-25;-14;3;-32;-30;14;84
25/11/2020;-30;-20;-20;-34;-31;15;62
26/11/2020;-25;-14;-11;-32;-29;15;76
27/11/2020;-23;-10;-2;-30;-28;12;63
28/11/2020;-65;-55;-30;-48;-28;19;49
29/11/2020;-62;-60;-51;-53;-32;17;40
30/11/2020;-37;-28;-13;-43;-56;26;31
01/12/2020;-47;-41;9;-56;-77;35;70
02/12/2020;-14;1;5;-21;-27;10;41
03/12/2020;-14;-5;5;-24;-27;12;82
04/12/2020;-29;-16;-33;-34;-28;14;79
05/12/2020;-64;-53;-29;-48;-27;19;26
06/12/2020;-60;-59;-47;-52;-29;16;49
07/12/2020;-33;-27;-21;-45;-56;26;19
08/12/2020;-47;-43;-35;-62;-76;36;52
09/12/2020;-11;-2;-14;-26;-26;11;38
10/12/2020;-19;-17;-35;-30;-26;14;68
11/12/2020;-25;-15;-39;-31;-27;14;50
12/12/2020;-35;-29;-13;-32;-16;11;47
13/12/2020;-36;-42;-38;-37;-20;11;44
14/12/2020;-15;-13;-22;-31;-28;13;48
15/12/2020;-13;-13;-10;-29;-27;12;68
16/12/2020;-16;-8;-18;-27;-27;13;53
17/12/2020;-13;-7;-1;-24;-25;12;79
18/12/2020;-21;-15;-22;-29;-26;13;56
19/12/2020;-31;-25;-3;-27;-15;10;52
20/12/2020;-32;-36;-12;-26;-15;9;52
21/12/2020;3;1;-19;-27;-34;13;33
22/12/2020;5;4;1;-26;-34;12;70
23/12/2020;-4;13;-12;-26;-41;13;55
24/12/2020;-27;-6;-7;-38;-65;19;68
25/12/2020;-87;-87;-32;-74;-88;32;13
26/12/2020;-46;-45;-18;-42;-34;13;11
27/12/2020;-45;-49;-28;-36;-19;9;30
28/12/2020;-12;-16;-27;-36;-44;18;33
29/12/2020;-10;-13;-24;-37;-44;18;76
30/12/2020;-9;8;-14;-29;-43;15;132
31/12/2020;-27;2;-24;-38;-57;22;77
01/01/2021;-90;-90;-56;-79;-89;43;81
02/01/2021;-68;-56;-21;-50;-40;20;62
03/01/2021;-62;-58;-28;-45;-27;14;83
04/01/2021;-18;-8;-26;-30;-29;13;78
05/01/2021;-18;-15;-16;-31;-29;14;149
06/01/2021;-22;-15;-27;-32;-28;14;152
07/01/2021;-23;-15;-11;-32;-27;15;162
08/01/2021;-27;-12;-24;-34;-27;15;125
09/01/2021;-67;-54;-32;-52;-28;19;81
10/01/2021;-63;-56;-25;-51;-29;16;130
11/01/2021;-18;-3;-10;-37;-29;14;210
12/01/2021;-17;-9;-13;-34;-29;14;190
13/01/2021;-21;-9;-11;-32;-30;12;212
14/01/2021;-24;-13;-9;-39;-32;14;226
15/01/2021;-69;-24;-18;-51;-43;23;226
16/01/2021;-79;-43;-4;-60;-43;20;167
17/01/2021;-80;-51;6;-50;-40;17;133
18/01/2021;-65;-22;-4;-50;-43;21;234
19/01/2021;-65;-23;-26;-50;-45;23;245
20/01/2021;-70;-25;-34;-52;-46;24;246
21/01/2021;-69;-24;-42;-54;-48;25;245
22/01/2021;-72;-22;-32;-60;-57;30;247
23/01/2021;-86;-54;-62;-68;-52;25;245
24/01/2021;-83;-45;-31;-57;-45;18;245
25/01/2021;-69;-25;-35;-62;-59;29;245
26/01/2021;-68;-25;-39;-61;-60;29;245
27/01/2021;-69;-23;-21;-57;-59;29;289
28/01/2021;-67;-19;-24;-58;-59;29;289
29/01/2021;-69;-19;-40;-58;-58;31;290
30/01/2021;-81;-43;-29;-61;-48;22;291
31/01/2021;-84;-53;-57;-65;-47;20;289
01/02/2021;-65;-17;-38;-55;-59;28;289
02/02/2021;-64;-19;-32;-57;-59;28;289
03/02/2021;-66;-20;-26;-55;-58;28;217
04/02/2021;-66;-19;-22;-57;-57;28;217
05/02/2021;-69;-23;-39;-58;-58;30;216
06/02/2021;-82;-46;-49;-64;-46;23;216
07/02/2021;-83;-53;-45;-66;-45;19;216
08/02/2021;-64;-15;-21;-56;-57;27;217
09/02/2021;-64;-21;-35;-58;-58;28;217
10/02/2021;-67;-21;-37;-57;-56;28;99
11/02/2021;-66;-20;-40;-58;-56;29;99
12/02/2021;-65;-15;-9;-56;-55;28;99
13/02/2021;-78;-40;16;-57;-42;20;99
14/02/2021;-79;-41;20;-58;-38;17;99
15/02/2021;-62;-14;3;-54;-57;26;99
16/02/2021;-63;-16;-2;-55;-65;30;99
17/02/2021;-65;-15;-11;-53;-55;26;49
18/02/2021;-65;-16;-16;-55;-55;28;49
19/02/2021;-67;-16;-28;-55;-55;28;49
20/02/2021;-84;-51;-62;-68;-45;23;48
21/02/2021;-81;-46;-22;-61;-40;18;49
22/02/2021;-62;-13;2;-54;-54;25;48
23/02/2021;-61;-12;-14;-57;-54;26;48
24/02/2021;-63;-12;9;-52;-54;25;25
25/02/2021;-63;-12;-2;-53;-54;26;26
26/02/2021;-65;-9;-19;-53;-53;27;25
27/02/2021;-76;-31;31;-52;-38;18;26
28/02/2021;-77;-37;33;-49;-34;15;26
01/03/2021;-60;-5;6;-48;-52;23;25
02/03/2021;-58;-6;18;-49;-54;24;25
03/03/2021;-63;-7;9;-49;-53;24;20
04/03/2021;-64;-13;-27;-52;-54;26;18
05/03/2021;-64;-9;-18;-51;-53;26;20
06/03/2021;-76;-32;48;-50;-37;18;19
07/03/2021;-78;-40;21;-51;-34;15;20
08/03/2021;-59;-2;0;-51;-52;23;20
09/03/2021;-58;-6;18;-50;-54;24;20
10/03/2021;-60;-7;16;-48;-52;24;19
11/03/2021;-60;-5;8;-48;-52;25;19
12/03/2021;-63;-8;-3;-51;-50;25;20
13/03/2021;-76;-33;23;-50;-34;17;19
14/03/2021;-78;-37;37;-52;-29;14;20
15/03/2021;-52;0;17;-45;-46;20;19
16/03/2021;-50;-1;26;-42;-47;20;20
17/03/2021;-54;-2;19;-42;-45;20;15
18/03/2021;-52;1;31;-42;-45;21;15
19/03/2021;-54;0;11;-43;-44;20;15
20/03/2021;-73;-27;28;-47;-29;16;14
21/03/2021;-75;-34;36;-47;-29;13;15
22/03/2021;-52;-2;27;-44;-45;19;15
23/03/2021;-51;0;17;-42;-46;20;15
24/03/2021;-54;-1;20;-41;-46;19;13
25/03/2021;-53;1;19;-42;-45;20;13
26/03/2021;-57;-2;21;-44;-45;22;13
27/03/2021;-73;-24;39;-47;-27;17;13
28/03/2021;-77;-38;28;-51;-28;15;13
29/03/2021;-53;-4;25;-46;-47;21;13
30/03/2021;-52;-1;20;-43;-47;21;13
31/03/2021;-51;8;31;-37;-45;19;12
01/04/2021;-47;16;6;-35;-47;20;12
02/04/2021;-69;-11;28;-59;-76;38;12
03/04/2021;-72;-17;31;-47;-32;18;12
04/04/2021;-81;-56;38;-50;-26;14;13
05/04/2021;-44;5;32;-34;-42;17;12
06/04/2021;-41;3;26;-33;-42;15;12
