DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-29;-13;17;-41;-48;11;7
19/08/2020;-30;-16;-8;-39;-48;12;5
20/08/2020;-26;-16;47;-37;-47;10;4
21/08/2020;-34;-18;24;-39;-47;9;9
22/08/2020;-40;-25;10;-33;-16;1;6
23/08/2020;-38;-21;1;-30;-5;-3;2
24/08/2020;-32;-18;35;-40;-47;8;5
25/08/2020;-31;-17;28;-39;-47;8;7
26/08/2020;-30;-19;25;-39;-45;8;10
27/08/2020;-29;-18;41;-38;-45;8;10
28/08/2020;-34;-17;19;-41;-44;9;7
29/08/2020;-39;-23;13;-34;-17;1;4
30/08/2020;-35;-20;5;-31;-5;-3;2
31/08/2020;-26;-11;26;-37;-44;8;3
01/09/2020;-27;-9;17;-35;-41;8;8
02/09/2020;-26;-11;18;-35;-39;7;4
03/09/2020;-25;-11;40;-33;-39;7;6
04/09/2020;-32;-15;13;-34;-39;7;3
05/09/2020;-36;-20;14;-29;-17;1;5
06/09/2020;-36;-18;6;-29;-8;-3;2
07/09/2020;-26;-11;27;-34;-40;7;6
08/09/2020;-26;-9;18;-32;-39;7;10
09/09/2020;-26;-9;18;-30;-36;7;11
10/09/2020;-24;-9;36;-30;-38;7;2
11/09/2020;-29;-14;19;-32;-37;7;13
12/09/2020;-36;-19;16;-31;-14;1;4
13/09/2020;-36;-16;-4;-31;-9;-1;5
14/09/2020;-26;-11;13;-33;-36;8;12
15/09/2020;-28;-9;3;-31;-35;9;12
16/09/2020;-25;-8;2;-30;-35;8;7
17/09/2020;-28;-10;2;-32;-36;8;21
18/09/2020;-34;-14;-16;-33;-34;9;30
19/09/2020;-43;-22;-50;-44;-19;9;4
20/09/2020;-36;-12;-27;-36;-13;5;1
21/09/2020;-25;-10;6;-31;-36;8;22
22/09/2020;-28;-9;-8;-29;-34;9;8
23/09/2020;-28;-10;-12;-27;-31;9;14
24/09/2020;-27;-12;0;-28;-33;8;11
25/09/2020;-32;-14;-13;-29;-31;8;12
26/09/2020;-37;-16;-31;-34;-17;7;13
27/09/2020;-34;-15;-15;-31;-13;4;10
28/09/2020;-28;-9;-5;-30;-33;9;21
29/09/2020;-27;-7;-2;-28;-31;8;28
30/09/2020;-25;-4;-9;-24;-30;8;31
01/10/2020;-25;-5;-6;-25;-29;8;23
02/10/2020;-34;-12;-29;-27;-29;9;31
03/10/2020;-34;-12;-22;-27;-17;6;27
04/10/2020;-29;-13;-23;-31;-14;5;25
05/10/2020;-47;-28;-32;-55;-77;21;43
06/10/2020;-31;-8;-24;-24;-32;9;65
07/10/2020;-27;-7;-9;-20;-29;9;83
08/10/2020;-27;-5;6;-20;-30;8;79
09/10/2020;-31;-7;-7;-22;-28;8;72
10/10/2020;-31;-7;6;-23;-14;6;74
11/10/2020;-31;-10;1;-20;-14;5;77
12/10/2020;-27;-4;8;-24;-31;9;55
13/10/2020;-31;-4;-17;-24;-30;10;122
14/10/2020;-29;-3;-18;-24;-26;10;100
15/10/2020;-30;-5;-4;-23;-27;9;120
16/10/2020;-35;-8;-17;-25;-26;10;83
17/10/2020;-42;-11;-38;-36;-16;10;87
18/10/2020;-40;-13;-24;-30;-15;7;64
19/10/2020;-40;-13;-38;-34;-31;12;95
20/10/2020;-41;-11;-43;-35;-30;13;102
21/10/2020;-34;-4;-28;-28;-27;12;163
22/10/2020;-31;-3;-8;-25;-27;11;107
23/10/2020;-37;-5;-23;-27;-26;11;169
24/10/2020;-45;-12;-51;-42;-16;12;98
25/10/2020;-51;-18;-63;-44;-19;9;116
26/10/2020;-34;-7;-20;-31;-30;12;155
27/10/2020;-39;-14;-45;-33;-30;13;129
28/10/2020;-32;0;-25;-27;-26;12;203
29/10/2020;-30;-4;-9;-24;-28;10;205
30/10/2020;-45;-10;-30;-42;-30;16;98
31/10/2020;-56;-16;-57;-57;-22;17;80
01/11/2020;-63;-26;-75;-65;-26;17;77
02/11/2020;-45;-16;-46;-45;-34;16;87
03/11/2020;-36;-8;-29;-34;-30;13;493
04/11/2020;-37;-11;-35;-33;-30;15;179
05/11/2020;-38;-12;-32;-35;-32;15;173
06/11/2020;-47;-20;-50;-39;-31;17;170
07/11/2020;-48;-17;-59;-47;-20;14;93
08/11/2020;-51;-21;-60;-48;-21;11;152
09/11/2020;-39;-12;-33;-39;-33;15;178
10/11/2020;-39;-11;-30;-36;-32;15;170
11/11/2020;-38;-11;-37;-34;-30;15;158
12/11/2020;-36;-10;-25;-35;-32;15;142
13/11/2020;-41;-4;-35;-35;-30;15;259
14/11/2020;-74;-47;-74;-66;-39;24;185
15/11/2020;-76;-52;-82;-68;-42;20;103
16/11/2020;-37;-9;-28;-38;-32;13;201
17/11/2020;-38;-11;-28;-36;-30;14;100
18/11/2020;-37;-12;-36;-35;-28;15;240
19/11/2020;-34;-9;-14;-32;-29;13;144
20/11/2020;-39;-5;-35;-35;-28;14;151
21/11/2020;-70;-42;-61;-62;-36;22;148
22/11/2020;-68;-41;-59;-62;-38;17;94
23/11/2020;-36;-8;-31;-38;-31;13;110
24/11/2020;-37;-9;-41;-39;-29;15;142
