DATA;RR;GPH;P;T;WP;RS;NC
18/08/2020;-1;6;6;-35;-46;14;2
19/08/2020;-5;4;20;-36;-46;14;4
20/08/2020;-1;4;34;-36;-45;12;4
21/08/2020;-11;-1;49;-39;-45;12;5
22/08/2020;-21;-13;63;-37;-15;1;8
23/08/2020;-23;-15;77;-40;-3;-2;1
24/08/2020;-7;1;72;-37;-43;10;4
25/08/2020;-4;5;66;-34;-43;11;5
26/08/2020;-5;4;61;-34;-42;10;8
27/08/2020;-5;4;55;-34;-42;11;6
28/08/2020;-11;3;50;-34;-42;11;6
29/08/2020;-20;-8;44;-36;-13;2;7
30/08/2020;-18;-9;43;-35;1;-2;2
31/08/2020;-1;9;49;-31;-36;10;3
01/09/2020;-4;11;55;-26;-33;9;12
02/09/2020;-4;6;61;-27;-32;9;12
03/09/2020;-3;3;66;-28;-32;8;8
04/09/2020;-11;1;72;-31;-31;9;8
05/09/2020;-17;-6;78;-33;-11;1;13
06/09/2020;-18;-8;84;-36;-2;-2;4
07/09/2020;-6;3;87;-29;-31;8;11
08/09/2020;-6;8;89;-26;-31;9;15
09/09/2020;-6;2;92;-26;-30;8;12
10/09/2020;-3;4;94;-26;-29;8;15
11/09/2020;-10;2;97;-28;-28;8;12
12/09/2020;-17;-6;81;-32;-8;1;10
13/09/2020;-19;-8;45;-36;0;-1;20
14/09/2020;-6;2;82;-27;-23;9;8
15/09/2020;-8;5;62;-25;-25;10;11
16/09/2020;-5;6;61;-22;-25;8;10
17/09/2020;-7;5;38;-26;-27;8;15
18/09/2020;-17;0;18;-28;-24;9;26
19/09/2020;-23;0;-40;-39;-9;8;25
20/09/2020;-20;-2;-11;-36;-2;5;7
21/09/2020;-9;2;61;-26;-23;8;25
22/09/2020;-13;5;23;-24;-24;9;28
23/09/2020;-12;3;13;-25;-22;9;21
24/09/2020;-10;3;30;-28;-23;9;30
25/09/2020;-18;2;13;-29;-21;9;26
26/09/2020;-22;0;-20;-37;-5;7;35
27/09/2020;-22;-4;-6;-36;-3;5;16
28/09/2020;-13;5;31;-25;-18;9;11
29/09/2020;-13;9;31;-23;-20;8;40
30/09/2020;-10;11;25;-19;-20;7;32
01/10/2020;-10;12;24;-20;-18;8;35
02/10/2020;-18;7;-16;-25;-17;10;35
03/10/2020;-18;3;-17;-32;-6;5;50
04/10/2020;-19;-3;-21;-34;-5;5;21
05/10/2020;-17;1;3;-51;-75;27;18
06/10/2020;-15;8;-1;-20;-20;9;31
07/10/2020;-13;5;24;-17;-18;8;67
08/10/2020;-10;9;33;-17;-18;8;46
09/10/2020;-16;2;24;-24;-16;9;60
10/10/2020;-17;1;25;-29;-4;6;50
11/10/2020;-19;-2;13;-36;-2;5;47
12/10/2020;-14;2;43;-22;-15;9;44
13/10/2020;-17;5;5;-20;-17;9;74
14/10/2020;-16;6;7;-21;-15;9;89
15/10/2020;-13;7;27;-19;-15;9;103
16/10/2020;-19;7;15;-26;-13;10;93
17/10/2020;-26;2;-29;-37;-4;9;102
18/10/2020;-27;-9;0;-38;-5;8;71
19/10/2020;-23;-1;-18;-29;-14;12;93
20/10/2020;-24;3;-31;-28;-16;12;96
21/10/2020;-17;5;-5;-22;-14;11;141
22/10/2020;-15;5;26;-22;-15;10;98
23/10/2020;-19;8;5;-22;-14;11;161
24/10/2020;-28;2;-45;-36;-6;11;102
25/10/2020;-34;-11;-59;-41;-9;10;95
26/10/2020;-18;1;5;-23;-13;11;162
27/10/2020;-23;1;-34;-26;-16;13;117
28/10/2020;-16;7;-4;-19;-14;11;194
29/10/2020;-12;11;28;-20;-14;10;176
30/10/2020;-24;8;6;-29;-15;15;100
31/10/2020;-35;0;-37;-40;-8;15;101
01/11/2020;-46;-18;-68;-55;-14;15;63
02/11/2020;-25;0;-21;-33;-17;15;79
03/11/2020;-17;10;0;-25;-17;13;585
04/11/2020;-18;5;-10;-26;-17;13;217
05/11/2020;-17;8;-7;-26;-17;14;199
06/11/2020;-26;3;-35;-32;-17;16;216
07/11/2020;-27;3;-51;-35;-7;12;146
08/11/2020;-35;-9;-52;-42;-12;11;152
09/11/2020;-20;4;-2;-28;-17;14;192
10/11/2020;-19;9;4;-26;-18;14;224
11/11/2020;-18;7;-10;-27;-17;14;266
12/11/2020;-15;9;6;-26;-18;14;304
13/11/2020;-19;22;-7;-28;-17;15;268
14/11/2020;-63;-41;-64;-66;-27;24;316
15/11/2020;-64;-46;-78;-71;-31;20;162
16/11/2020;-15;7;9;-26;-15;13;263
17/11/2020;-17;7;-1;-25;-17;14;195
18/11/2020;-17;3;-13;-25;-17;14;345
19/11/2020;-14;8;24;-24;-17;12;202
20/11/2020;-18;18;-4;-24;-16;14;287
21/11/2020;-57;-36;-45;-60;-27;22;223
22/11/2020;-54;-37;-42;-64;-29;17;143
23/11/2020;-13;9;11;-26;-15;13;167
24/11/2020;-16;10;-17;-25;-18;14;199
25/11/2020;-17;2;-39;-27;-17;14;242
26/11/2020;-11;13;-12;-24;-18;13;313
27/11/2020;-10;20;-9;-17;-16;12;186
28/11/2020;-55;-35;-52;-60;-23;22;149
29/11/2020;-50;-33;-51;-62;-26;18;194
30/11/2020;-25;-4;15;-46;-49;26;76
01/12/2020;-43;-22;20;-64;-78;40;155
02/12/2020;-3;25;1;-11;-15;11;173
03/12/2020;-5;19;-8;-17;-16;12;200
04/12/2020;-16;17;-41;-23;-15;14;176
05/12/2020;-54;-34;-65;-60;-21;21;167
06/12/2020;-52;-34;-74;-61;-25;18;97
07/12/2020;-25;-10;-36;-49;-50;27;71
08/12/2020;-43;-23;-27;-66;-78;40;142
09/12/2020;0;23;-26;-8;-14;9;106
10/12/2020;-5;16;-32;-18;-15;12;147
11/12/2020;-13;18;-38;-19;-14;13;158
12/12/2020;-50;-33;-44;-51;-16;18;181
13/12/2020;-48;-31;-69;-53;-19;16;64
14/12/2020;-3;13;-26;-13;-13;11;39
15/12/2020;-3;19;-23;-9;-15;11;145
16/12/2020;-1;17;-21;-10;-14;11;122
17/12/2020;5;25;7;-9;-14;10;129
18/12/2020;-6;22;-25;-12;-13;11;87
19/12/2020;-48;-30;-50;-48;-16;18;130
20/12/2020;-42;-24;-54;-47;-16;14;82
21/12/2020;18;36;-18;-3;-27;12;57
22/12/2020;17;42;20;1;-30;12;136
23/12/2020;18;51;-6;-5;-32;12;132
24/12/2020;-6;24;28;-38;-64;17;98
25/12/2020;-84;-89;-10;-84;-88;34;57
26/12/2020;-53;-45;-5;-53;-34;18;43
27/12/2020;-52;-39;-68;-58;-20;16;101
28/12/2020;13;23;-3;-15;-38;18;100
29/12/2020;7;25;-5;-14;-39;18;102
30/12/2020;14;47;-2;-14;-39;15;142
31/12/2020;-11;40;-19;-42;-56;22;167
01/01/2021;-84;-89;-27;-87;-88;43;59
02/01/2021;-56;-37;-36;-59;-34;22;81
03/01/2021;-51;-35;-47;-57;-19;16;155
04/01/2021;-1;18;3;-17;-13;11;161
05/01/2021;-7;15;0;-19;-15;12;173
06/01/2021;-8;8;-3;-21;-14;12;211
07/01/2021;-8;10;13;-23;-14;12;158
08/01/2021;-13;18;-12;-21;-13;13;167
09/01/2021;-54;-34;-51;-59;-20;20;125
10/01/2021;-51;-33;-53;-58;-19;16;119
11/01/2021;-3;19;11;-18;-12;11;94
12/01/2021;-7;17;-1;-18;-15;11;182
13/01/2021;-3;13;1;-19;-16;9;203
14/01/2021;-6;12;5;-27;-19;10;191
15/01/2021;-58;-7;-34;-55;-28;21;231
16/01/2021;-69;-29;-52;-72;-36;22;212
17/01/2021;-70;-40;-56;-72;-34;18;148
18/01/2021;-50;-11;-5;-52;-28;19;161
19/01/2021;-55;-8;-39;-54;-31;21;226
20/01/2021;-58;-20;-53;-57;-33;22;227
21/01/2021;-57;-10;-47;-59;-33;22;227
22/01/2021;-62;-10;-52;-65;-46;30;227
23/01/2021;-78;-43;-84;-80;-44;27;227
24/01/2021;-74;-37;-76;-76;-39;18;227
25/01/2021;-61;-22;-58;-67;-46;28;227
26/01/2021;-61;-16;-58;-67;-49;28;230
27/01/2021;-58;-16;-43;-64;-47;27;209
28/01/2021;-56;-9;-42;-65;-48;27;210
29/01/2021;-60;-4;-52;-66;-46;30;209
30/01/2021;-73;-29;-72;-77;-41;25;210
31/01/2021;-78;-45;-87;-81;-40;21;210
01/02/2021;-55;-10;-52;-64;-45;26;209
02/02/2021;-58;-6;-53;-64;-47;27;209
03/02/2021;-57;-10;-40;-64;-46;26;134
04/02/2021;-56;-5;-33;-63;-47;26;132
05/02/2021;-59;-4;-47;-65;-45;29;130
06/02/2021;-72;-26;-59;-73;-39;23;130
07/02/2021;-77;-40;-84;-81;-39;20;132
08/02/2021;-56;-8;-47;-62;-45;25;132
09/02/2021;-57;-3;-48;-63;-46;27;131
10/02/2021;-56;-4;-38;-63;-45;26;67
11/02/2021;-57;-6;-46;-65;-46;27;67
12/02/2021;-57;7;-27;-62;-44;27;67
13/02/2021;-69;-19;-53;-72;-35;22;68
14/02/2021;-68;-26;-46;-71;-31;17;67
15/02/2021;-52;3;5;-60;-48;25;67
16/02/2021;-60;-2;-35;-70;-66;34;67
17/02/2021;-57;-6;-44;-61;-45;26;35
18/02/2021;-55;1;-22;-61;-45;26;33
19/02/2021;-58;4;-42;-63;-44;28;35
20/02/2021;-75;-28;-81;-80;-38;24;35
21/02/2021;-72;-27;-52;-72;-30;17;35
22/02/2021;-53;0;-2;-58;-42;23;34
23/02/2021;-54;4;-16;-59;-44;24;35
24/02/2021;-54;-1;-10;-57;-43;24;21
25/02/2021;-54;4;-29;-60;-44;25;21
26/02/2021;-54;16;-11;-57;-42;25;21
27/02/2021;-66;-10;-31;-68;-32;19;20
28/02/2021;-69;-20;-33;-68;-28;15;21
01/03/2021;-52;5;-22;-58;-41;22;20
02/03/2021;-52;12;-18;-57;-43;24;20
03/03/2021;-52;5;1;-55;-43;23;17
04/03/2021;-51;10;-8;-58;-42;24;17
05/03/2021;-53;13;-4;-57;-41;25;16
06/03/2021;-65;-10;-27;-65;-31;19;17
07/03/2021;-69;-22;-49;-72;-28;15;16
08/03/2021;-46;14;2;-54;-40;22;17
09/03/2021;-51;13;-3;-55;-42;23;16
10/03/2021;-51;6;-17;-56;-42;23;15
11/03/2021;-51;8;-29;-59;-42;24;15
12/03/2021;-53;12;-10;-57;-39;25;15
13/03/2021;-65;-11;-35;-68;-29;19;14
14/03/2021;-68;-18;-47;-70;-25;15;15
15/03/2021;-40;13;36;-52;-34;19;14
16/03/2021;-41;18;26;-49;-35;19;14
17/03/2021;-41;10;40;-49;-34;19;16
18/03/2021;-39;20;40;-49;-34;19;16
19/03/2021;-41;25;14;-49;-32;20;16
20/03/2021;-60;-3;-17;-64;-22;17;15
21/03/2021;-64;-16;-30;-68;-20;14;16
22/03/2021;-40;15;37;-50;-32;19;16
23/03/2021;-41;18;23;-48;-35;19;16
24/03/2021;-41;13;17;-50;-34;19;14
25/03/2021;-38;22;33;-49;-34;18;14
26/03/2021;-45;23;4;-52;-32;22;15
27/03/2021;-60;0;-32;-66;-22;19;14
28/03/2021;-65;-18;-36;-69;-17;15;14
29/03/2021;-41;13;14;-52;-34;20;14
30/03/2021;-41;21;10;-50;-35;20;14
