DATA;RR;GPH;P;T;WP;RS;NC
01/03/2020;-8;3;-33;-1;0;2;2
02/03/2020;3;9;8;4;3;0;2
03/03/2020;-1;7;-3;1;3;0;2
04/03/2020;2;7;15;5;2;0;3
05/03/2020;3;8;14;5;2;0;4
06/03/2020;0;7;14;5;2;-1;8
07/03/2020;3;4;27;7;2;-1;9
08/03/2020;-1;6;-4;1;1;0;9
09/03/2020;0;11;21;0;2;1;2
10/03/2020;0;17;20;0;1;0;18
11/03/2020;-1;26;29;-1;0;1;19
12/03/2020;-9;28;10;-11;-4;4;34
13/03/2020;-27;23;-10;-24;-11;9;57
14/03/2020;-47;-10;-31;-33;-15;13;76
15/03/2020;-62;-33;-58;-46;-23;15;86
16/03/2020;-50;-16;-40;-51;-41;22;117
17/03/2020;-54;-20;-44;-56;-48;24;194
18/03/2020;-55;-19;-38;-57;-51;24;143
19/03/2020;-67;-36;-53;-68;-57;30;235
20/03/2020;-77;-42;-70;-73;-60;36;260
21/03/2020;-81;-48;-71;-71;-55;26;320
22/03/2020;-83;-58;-72;-74;-51;22;460
23/03/2020;-74;-42;-59;-74;-62;32;302
24/03/2020;-73;-40;-60;-74;-63;33;633
25/03/2020;-74;-42;-59;-74;-63;32;549
26/03/2020;-74;-42;-60;-75;-64;33;724
27/03/2020;-75;-39;-63;-75;-63;36;902
28/03/2020;-79;-47;-72;-74;-55;25;792
29/03/2020;-83;-59;-80;-78;-53;22;446
30/03/2020;-74;-45;-71;-78;-63;33;1035
31/03/2020;-72;-36;-68;-75;-64;33;808
01/04/2020;-73;-40;-67;-76;-64;33;783
02/04/2020;-70;-35;-57;-74;-64;33;852
03/04/2020;-72;-34;-61;-75;-64;36;638
04/04/2020;-78;-44;-78;-75;-55;25;754
05/04/2020;-84;-60;-88;-82;-55;23;452
06/04/2020;-72;-39;-69;-77;-64;33;712
07/04/2020;-68;-30;-62;-74;-64;32;699
08/04/2020;-67;-27;-58;-72;-63;30;815
09/04/2020;-71;-28;-68;-78;-69;35;1516
10/04/2020;-81;-45;-70;-85;-84;46;515
11/04/2020;-78;-40;-73;-77;-58;26;598
12/04/2020;-86;-83;-79;-81;-56;23;349
13/04/2020;-75;-44;-67;-80;-72;37;514
14/04/2020;-68;-33;-61;-73;-62;31;643
15/04/2020;-69;-35;-62;-73;-63;32;750
16/04/2020;-69;-34;-64;-75;-63;33;181
17/04/2020;-69;-30;-58;-73;-62;35;663
18/04/2020;-72;-40;-63;-70;-49;22;521
19/04/2020;-78;-53;-70;-75;-47;20;657
20/04/2020;-69;-44;-66;-77;-60;32;516
21/04/2020;-66;-36;-58;-74;-60;31;603
22/04/2020;-67;-38;-52;-73;-60;30;371
23/04/2020;-65;-36;-47;-73;-60;30;444
24/04/2020;-68;-33;-54;-73;-59;33;474
25/04/2020;-73;-41;-64;-71;-51;23;412
26/04/2020;-77;-50;-69;-74;-45;19;163
27/04/2020;-65;-37;-52;-73;-58;30;295
28/04/2020;-63;-31;-50;-71;-58;27;183
29/04/2020;-64;-32;-54;-72;-58;29;368
30/04/2020;-60;-19;-42;-66;-57;27;295
01/05/2020;-77;-44;-60;-81;-81;43;203
02/05/2020;-71;-33;-54;-67;-46;22;92
03/05/2020;-72;-44;-51;-67;-35;17;242
04/05/2020;-58;-27;-40;-65;-52;26;178
05/05/2020;-57;-24;-33;-64;-51;25;480
06/05/2020;-56;-23;-21;-61;-51;24;533
07/05/2020;-55;-22;-15;-62;-51;25;553
08/05/2020;-58;-19;-29;-62;-49;27;138
09/05/2020;-63;-26;-54;-62;-33;18;175
10/05/2020;-68;-36;-48;-66;-32;14;98
11/05/2020;-56;-25;-39;-63;-48;25;234
12/05/2020;-54;-21;-28;-61;-48;25;219
13/05/2020;-58;-27;-43;-63;-48;25;187
14/05/2020;-56;-22;-36;-62;-48;24;264
15/05/2020;-57;-19;-27;-60;-46;26;227
16/05/2020;-57;-21;-10;-52;-26;14;226
17/05/2020;-62;-30;-4;-57;-23;10;173
18/05/2020;-44;-22;-1;-57;-42;21;223
19/05/2020;-43;-20;0;-56;-42;21;228
20/05/2020;-43;-19;4;-54;-42;20;252
21/05/2020;-41;-16;13;-54;-44;21;288
22/05/2020;-44;-15;5;-55;-42;21;271
23/05/2020;-45;-18;14;-48;-18;10;152
24/05/2020;-49;-27;19;-53;-15;7;165
25/05/2020;-40;-18;12;-55;-41;19;219
26/05/2020;-39;-17;18;-54;-39;19;285
27/05/2020;-38;-17;31;-52;-39;18;304
28/05/2020;-36;-12;32;-52;-39;18;350
29/05/2020;-39;-11;23;-51;-38;18;257
30/05/2020;-41;-14;13;-45;-10;8;297
31/05/2020;-45;-22;-2;-50;-5;6;200
01/06/2020;-29;-8;7;-46;-35;16;195
02/06/2020;-32;-12;0;-47;-34;17;366
03/06/2020;-32;-12;8;-45;-34;16;331
04/06/2020;-31;-11;6;-45;-34;16;377
05/06/2020;-33;-10;9;-46;-33;17;382
06/06/2020;-35;-13;5;-39;-7;8;342
07/06/2020;-38;-19;-5;-47;-2;7;192
08/06/2020;-28;-8;8;-47;-35;16;421
09/06/2020;-23;-2;21;-43;-35;13;294
10/06/2020;-27;-8;92;-56;-67;19;310
11/06/2020;-35;-14;36;-64;-71;26;270
12/06/2020;-32;-5;7;-51;-46;20;283
13/06/2020;-35;-16;19;-45;-6;8;227
14/06/2020;-37;-22;8;-46;5;4;346
15/06/2020;-28;-13;3;-46;-32;15;300
16/06/2020;-25;-8;0;-44;-32;15;336
17/06/2020;-26;-11;12;-43;-31;14;417
18/06/2020;-26;-11;16;-44;-32;14;375
19/06/2020;-28;-10;16;-44;-31;14;377
20/06/2020;-30;-13;31;-39;-1;5;292
21/06/2020;-34;-19;24;-43;5;4;259
22/06/2020;-27;-12;27;-45;-33;14;345
23/06/2020;-26;-7;16;-44;-32;13;367
24/06/2020;-29;-14;23;-48;-40;16;311
25/06/2020;-26;-10;16;-44;-32;15;451
26/06/2020;-29;-10;12;-44;-31;14;323
27/06/2020;-32;-13;11;-41;-4;7;457
28/06/2020;-34;-19;19;-44;5;4;266
29/06/2020;-24;-12;24;-45;-33;13;259
30/06/2020;-20;-5;22;-42;-31;12;352
01/07/2020;-19;-5;30;-39;-31;11;378
02/07/2020;-18;-4;33;-39;-31;12;455
03/07/2020;-22;-4;29;-39;-30;12;413
04/07/2020;-25;-8;44;-34;-3;4;328
05/07/2020;-29;-15;43;-38;3;1;232
06/07/2020;-20;-5;51;-41;-32;11;287
07/07/2020;-18;-2;46;-38;-32;11;443
08/07/2020;-17;-2;44;-37;-31;11;418
09/07/2020;-16;-3;50;-39;-31;11;402
10/07/2020;-22;-4;49;-38;-30;11;342
11/07/2020;-26;-8;56;-34;-3;3;291
12/07/2020;-28;-13;46;-37;3;1;306
13/07/2020;-18;-4;62;-40;-31;11;233
14/07/2020;-17;-3;49;-39;-32;11;375
15/07/2020;-15;-5;68;-36;-30;10;339
16/07/2020;-15;-3;79;-38;-31;10;312
17/07/2020;-20;-2;72;-38;-30;9;313
18/07/2020;-24;-6;68;-32;-4;2;246
19/07/2020;-25;-12;47;-35;2;1;135
20/07/2020;-14;-1;62;-39;-33;11;127
