DATA;RR;GPH;P;T;WP;RS;NC
15/05/2021;-17;7;1;-26;-7;4;334
16/05/2021;-19;1;-3;-30;-3;4;199
17/05/2021;-7;25;18;-27;-13;6;386
18/05/2021;-9;22;2;-27;-13;6;511
19/05/2021;-6;23;22;-25;-12;5;451
20/05/2021;-3;26;32;-28;-16;6;559
21/05/2021;-9;26;16;-24;-12;5;523
22/05/2021;-15;9;16;-25;-4;3;413
23/05/2021;-16;2;15;-28;-2;2;241
24/05/2021;-9;24;7;-29;-14;7;375
25/05/2021;-6;25;17;-26;-12;6;594
26/05/2021;-4;24;27;-24;-11;5;572
27/05/2021;-1;26;29;-25;-11;5;598
28/05/2021;-4;29;28;-20;-10;4;609
29/05/2021;-10;13;35;-17;-1;2;445
30/05/2021;-12;6;34;-21;0;1;435
31/05/2021;-1;34;17;-24;-11;5;445
01/06/2021;5;36;18;-20;-12;5;724
02/06/2021;6;35;29;-17;-11;3;769
03/06/2021;-1;20;84;-41;-72;19;430
04/06/2021;-3;36;42;-22;-21;7;573
05/06/2021;-10;11;51;-17;-4;2;612
06/06/2021;-13;5;39;-20;0;0;388
07/06/2021;-1;32;34;-25;-13;5;598
08/06/2021;3;35;35;-23;-12;5;890
09/06/2021;9;38;55;-16;-12;2;910
10/06/2021;-4;17;118;-41;-71;17;519
11/06/2021;-4;36;52;-25;-24;7;789
12/06/2021;-13;12;46;-20;-6;2;707
13/06/2021;-16;4;30;-21;0;-1;625
14/06/2021;-3;28;31;-23;-11;5;973
15/06/2021;-5;22;18;-24;-11;6;1350
16/06/2021;-1;29;27;-21;-11;5;1233
17/06/2021;-4;25;9;-25;-13;6;1298
18/06/2021;-9;24;8;-25;-13;6;1183
19/06/2021;-18;10;-1;-27;-2;4;941
20/06/2021;-20;3;-15;-30;-3;6;756
21/06/2021;-5;25;19;-26;-16;7;1020
22/06/2021;-2;28;25;-24;-16;6;1497
23/06/2021;-1;30;42;-22;-16;4;1556
